PieceNr;Key;PageNr;Name;Composer;Comment;Tuning;Concordances;TimeInz;Tab;;;;;;;;;;;
44;F;dur;21r;Guigue;Losy;?;;;Conc_1500;3;",,d/ | [,,d{,a}/] ,,f ,,d | [,,d{,,a}/] ,,f ,,d | [,a{,,,a}/] \
,c ,d | [,'c{4}1] a/ | [a,,,,a/] e a | [,a,,,b/] ,c ,a | \
[c{a}/] e f | [,'c{4}1] :| ";;;;;;;;;
45;G;dur;21v;Aria;;;;;C;"[,,,c{a}/]> ,,a ,,c/> ,,d [,aa{,a}1]> ,c | [,a,,a/]> ,,a \
[,,c{4}/]> ,,d [,,'c{a}1] ,,,c | [,,cc{a}/]> ,,c ,,d/> ,a \
[,,'a{,a}1] ,a | [,,,c{,,a}/]> ,,c [,,'a{4}3/2] ,,,c/4 ,,a \
[,,,'b{,,,a}1] ,,,,a :| ";;;;;;;;;;
46;G;dur;21v;Riguadon;;;;Conc_3916;2;",a/ ,,d | [,,'c1] {a} [,,'a] {,,,a} | [,,,'c{,,a}1] {,,,a} \
{4} ,,,,,c | ,,,,,a1 ,,d {a} ,,c | [,,'a{,,,a}/] ,,,c ,,a ,,c \
[,,'a,a1] ,a/ ,,d | ";;;;;;;;;;
47;G;dur;22r;Menuet;a;rondeaux;;;;Conc_3917;3;"[cac{a}1] c/ ,a ,c1 | [,,'c{a}1]> ,,c [,,d,,a1] | [,a,,,c1] \
[,c,,,d/] ,a [,,d{4}] ,,c | [,,'a{,,,a}/] ,,,c ,,a ,,c ,,a1 | \
[cac{a}1] c/ ,a ,c1 | ";;;;;;;;
48;G;dur;22v;Gavotte;;;;Conc_3918;C;"[,ac{a}1] ,f/ e [g{a}1] [e,,,e] | [g,,,f/] e [,f{4}] e \
[,e{,,,a}1] ,,,,a | [c,,,,c1] ,a [,cd,,d] [,a,,,c] | [,,d,,a/] \
,a ,,c ,,d [,,'a{,,,a}1] [,,,c{a}] :| ";;;;;;;;;;
49;G;dur;22v;Canarie;;;;Conc_3919;3;"[cac{a}1] c/ | [ba,,a/]> ,c [,a,,,c/] | [,c,,,d/]> ,a \
[,,d,,a/] | [,ad,,c/]> ,,d ,,c/ | [,,d,,a/]> ,,c [,,a{,a}/] | \
[,,'c{a}1] [,,a{,a}/] | [,,,c{,,a}/]> ,,c [,,a{4}/] | \
[,,,c/]> [,,,'b{,,,a}] ,,,,a/ | ";;;;;;;;;;
50;G;dur;23v;Bourée;;;;;C;",,,c/ ,,a | [,,c{a}1] [,,d,,a] [,a,,,c] [,c,,,d] | \
[,aa{,a}1] {4}/ ,,d [,,c{a}1] [,,d,,a] | [,a,,,c1] \
[,,,c{,,a}] [,,d,,a] [,,c{a}] | [,,'a,a2] {,,,a}1 ,,,c/ ,,a | ";;;;;;;;;;
51;G;dur;24r;Menuet;;;;;3;"[,,c{a}1] [,,d,,a] [,a,,,c] | [,c,,,d/] ,d ,c ,a [,,d{,,a}] \
,,c | [,,a{,a}1] [,,c{a}] [,,d,,a] | [,a,,,c/] ,c ,a ,,d \
[,,c{,,,a}] ,,a | [,,,c{,,a}1] [,,a{,a}] [,,c,,a] | ";;;;;;;;;;
52;G;dur;24v;Guigue;;;;;6/4;"[,ac{a}1] c ['b,,,,a1]> ,c [,a,,,c1] | [,c,,,d2] [,c,,,d1] \
[,a{,a}1]> ,,d [,,c{a}1] | [,,d,,a2] [,a{,a}1] [,,c{a}2] \
[,,d,,a1] | [,a,,,c1]> ,,d ,,c1 [,,c{a}1] [,,'a,a] {,,,a} | ";;;;;;;;;;
53;G;dur;24v;Sarabanda;;;;Conc_5371;3;"[,ac{a}1] [,,,'c] ,,,,,a | [,a,,,c1] [,,,'b] ,,,c | \
[,c,,,d1] ,e c | [,e,,a1] ,,d ,,c | [c,c,c1] ,,d ,c | \
[e,,,e1] ,a [ga] | [ea,,e1] ,,,,c/ ,a c ,,e | ";;;;;;;;;;
