PieceNr;Key;PageNr;Name;Composer;Comment;Tuning;Concordances;TimeInz;Tab;deuNotes;engNotes
225;A dur;238v;Menuete;;13;;;3;"[,,e,a1] ,,e/ ,,c [,,#a1] | [,,cd{a}/]> ,,e [,,#c/]> ,,,e \
V,,,d1 | V[,,,e{,a}1] ,,,e/ ,,,d ,,,,e ,,,d | [,,,d{,,a}/] \
(,,,e ,,,c) (,,,,e ,,,,c1) | [,,ee,a1] ,,e/ ,,c [,,#a1] | \
[,,cd{a}/]> ,,e [,,#c/]>";;
226;A dur;239v;Bourée;;14;;Conc_2831;C;"e/4 d | V[e,,,,a/] [,ca{4}] V[,ea{,,,a}] [,#c{a}/4] ,a \
[,,e,,a/] ,,c/4 ,a [,,#c{a}/] ,c | [,,aVe{,a}/] [,ae,,c] \
[,,e,,a/4] ,a [,,#c{,,,a}] ,,a [,,cdc{,,a}/] [,,cd] [,,cd] :| ";;
227;A dur;240v;Rondeau;;15 - Du commencement;;;3;"[,,e,,a/] ,a | V[,ca,,e1] [,ce,,a] V[,ea,a] [da,,,c] | \
[e,,,,a1] ['d,,,,c/]> ,e V[,ca,,e1] V[,ea,a] | [,c,dc1] \
[,aa,e] [,aVcd] [,,ee,a] | [,,#cd{,,a}/] ,,,e ,,c ,,e";;
228;A dur;241v;Menuete;Hinterleithner;16;;Conc_1389;3;"[,,#a,,a/] ,,,d ,,a (,,c ,,e) ,a | [,cc{a}1] ,,c V,c | \
V[e{,a}1] 'd1> ,e | ['d{,,a}/] ,e [,#c] ,a ,,e (,,c | \
[,,a{a}/]) ,,,d ,,a ,,c V,,e ,a | ";;
229;A dur;242v;Aire;;17;;Conc_2832;C;"[,,aVe,a1] [,,cd{a}] V[,,e,a] [,cc{a}/] ,,c | [,,a{,a}1] \
[,,#c{,,,a}/]> ,,a {,,a}/ ,,,d ,,,,c ,,c | ,,,,,a/ V,,e {a} \
V,,c ,,,,,a V,,e {a} ,,c | ";;
230;A dur;243v;Menuete;;18;;;3;"[ece,,a1] [da,,,c] V[,ea,,e] | V[,ea,a1] [,#c/]> ,a \
[,,ee,a1] | ,,,,,c/ ,a ,,,d ,e [,#c/]> ,a | [,,e,,a/] ,a \
,,e ,,c [,,#a1] | [ece,,a1] [da,,,c] V[,ca,,e] | ";;
231;A dur;244v;Gavotte;;19;;Conc_2826;C;"[,,aVe,a1] ,,e/ ,a V[,ca,,e1] {a}/ V,,c | V[,,e,,a1] \
[,,#c{,,,a}/]> ,,,e [,,,'d{,,a}1] ,,,,c/ ,,,d | [,,aVe{,a}1] \
{a}/ V,,c V[,,e,,a1] [,#a{,,,a}/]> ,,e | [,,#c{,,a}/]> \
,,a ,,,d/ ,,a [,,aVe1] ,,,,,a :| ";;
232;A dur;245v;Menuete;;20;;;3;",,,,,a1 Ve V,c | [,c{a}/] ,e [,#c/]> ,a [,,e,,a1] | \
[,ca{4}1] (,e/ ,c) [,#a{,,,a}/]> ,,e | [,,#c{,,a}/] (,,a \
,,c ,,e) [,,#c1] | ,,,,,a1 Ve V,c | ";;
233;A dur;246v;Bourée;;21;;;C;"e/ d | [ece,,a1] 'd/> ,e [,cc{a}1] [,#a/] ,,e | \
[,ae{,a}1] [,,#c/]> ,,a [,,,dc{,,a}1]> [,,ee] | \
[,,,ba{,,,a}/] ,,,d ,,a (,,c ,,e1) [,,#c/]> ,,a | ";;
234;A dur;247v;Gigue;;22;;Conc_1425;3;",,,,,a1 Ve V,c | ,,e1> ,c ,,e1 | {a}1 ,c ,,c | ,,,d1> ,,c \
,,,d1 | {,a}1 ,e d/ e | ['d2] ,e1 | {,,a}1 d ,c | ,,c1> \
,c ,,c1 | ";;
235;A dur;248v;Menuete;;23;;;3;"[,,a,,a/] ,,,d ,,a ,,c ,,e ,a | ,c1 ,c/ ,e d1 | [e{,a}1] \
,a e | [d{,,a}1] d/ ,e [,'c] ,a | [,,e,,a1] ,,e/ ,a ,c1 | ";;
236;A dur;249r;Aria;;;;Conc_3985;C;"[,,e,,a/] ,a | [,c{a}1] [e{,a}] [d{,,a}] [,e{,,,a}] | \
[,c{4}1] [,'c/] ,a [,,e,,a1] ,,e/ ,a | [,,c{a}/] [,,a{,a}] \
[,,,d{,,a}] [,,a{,a}] | [,,c{a}/] ,,a ,,,d ,,,,e ,,,,c1 \
[,,e,,a/] ,a | ";;
237;A dur;249v;Menuete;;24 - Du commencement;;Conc_2833;3;"[e,,,,a1] ,c ,c | [,'ccv1]> ,e ,c1 | [e{,a}1] ,a ,a | \
[,'a,d{,,a}1]> ,c ,,e1 | [,ea{,,,a}1] ,,c ,,c | [,ce{4}1]> \
,a ,,e1 | [,e,,a1] [,,'c{,,,a}1]> ,,a | [,,ae,a3] :| ";250r rastriert, aber nicht beschrieben. ;250r gridded, but not used.
238;A dur;250v;Air;;;;;C;"[,,a,ca1] [,ce/]> [,ac] [,ac/]> [,,ee] [,,a,ca1] | \
[,acb{,,,a}/] [ba] [,ce/] [,ac/4] [,,ee] [,,c{,,a}/4] ,,a \
,,,d ,,,,e ,,,,c1 | [,a,b,c/]> ,,e ,,c/ (,a/8 ,,e ,,c ,,a) \
[,,,d{,,a}/] ,,,,e/4 ,,,,c [,,a,,e/] ,,,,,c/4 ,,,,,a | ";;
239;A dur;251v;Courante;;;;;3;",,,d/ ,,a ,,c | ,,,e/ ,,e ,,,,,a ,a ,c {a} | {,a}/ ,,a \
,e d e g | ['d{,,a}1] ,c e | g/ ,,,,a ,,,,,e ,c ,,a1 | ";252v-256v rastriert, aber nicht beschrieben. 257r-v Leerseiten.;252v-256v gridded but not used. 257r-v empty pages.
;;;Accord francaise ordinaire du Ton A avec la tierce molle;;;;;;;;
240;a moll;258v;Prelude;;1;;;C;",,,,,a/ (,,,e ,,d) ,c Ve1> e ,,,,b ,,,b V,,c ,b e1> e \
,,,,c ,,c c ,,,,a ,,,,,e c ,c c Ve";;
241;a moll;259v;Aire;;2;;;C;"[,cd,,a1] e/ d V[e,,,,a1] [,cd,,d] | [,a,d,c/] (,c/4 ,d) \
[,'c] ,a ,,d ,,c [,,de,a1] [,,de] | [ac,,a1] ,,,,,c/ Vc \
[,cd,,d1] [,aa,d/] [,,dcc] | ";;
242;a moll;260v;Menuete;;3;;Conc_1479;3;"[,rde1] e 'd | V[e,,,,a1] ,c Ve | [aa,,,c1] {a}/ ,,,,,a \
,,,,,c {a} | [,cd,,d/] a V,c ,a ,,d1 | [c,d{,,a}1] Ve/ \
c #a ,c | ";;
243;a moll;261v;Gavotte;;4;;;C;"[,,aVe,a1] V,c [,cde] [,#a{a}/]> ,,d | [,,'c{,a}/] ,,d \
[,,'c{,,,a}] ,,a [,,,'d{,,a}1] V,,,,c/ ,,,,,a | \
[,c,,,d1] [,,de,a] [,a,c,c] [ca{a}/] {,a} | [c,d{,,a}/] \
e [#c,c{,,,a}] a [,aVd{4}1] ,,,,,d | ";;
244;a moll;262v;Menuete;Losy;5;;Conc_499;3;"[,cd,,a/] ,d (,c ,a) ,,d ,,c | V,,d1 ,,,,,a e | [c,,,,c/]> \
e #c/ a [,c,,,d] a | [,#ad{a}3/2] ,,d/4 ,a [,,dcc{4}1] | \
[,cd,,a/] ,d (,c ,a) ,,d ,,c | ";;
245;a moll;263v;Bourée;A.Eckstein or Mr. Anthony?;6;;Conc_1480;C;"V,c/> ,c | [,,aVe,a1] [,,c{b}] V[,,d,,a] [,,'c{,,,a}/]> \
,,,e | [,,,'d1] {,,a} ,,,,c/ ,,,,a ,,,,,e ,,a | [,,c{b}1] \
[,,d,,a/] {a} [,#ad{,a}3/2] ,,d/4 ,a | [,cc1] {,,a} [,ccd] \
,,,,,d/ ,c | ";;
246;a moll;264v;Aire;Losy or Lully;7;;Conc_1433;C;"[ecd,,a1]> c | [#aa,,a1] [,cd,,d] [,a,d,c/]> ,a V,c/ ,,c | \
V[,,d,,a1] (,,c/ ,,a) [#aa,,a1] ,,c/ c | [,cd,,d1] ,,,,,c/ \
,c [ea{,a}/]> h ['g{,,,a}/]> ,h | [,'g{,,a}1] V,,h :| ";;
247;a moll;265v;Sarabande;;8;;Conc_2432;3;"V,c1 | [ec,,,a1] Vg ['d{,,a}] | V[e,,,,a2] V[,c{4}1] | \
[,#a{,,,a}1]> ,,d [,,'c{,,a}1] | V[,,d,,a1] ,,,e V,c | \
[,ec,,,a1] Vg ['d{,,a}] | V[e,,,,a2] [,cc{a}/] V,d | \
[,#a{,a}1]> ,,d ,a1 | ";;
248;a moll;266v;Gavotte;;9;;Conc_687;C;"[,'c/]> ,a ,,d/ ,,c | V[,,d,,a/]> {a} {,a}/ {,,a} \
[ec{,,,a}/]> {,,a} {4}/ Ve | ['d{,,a}1] [,'c/]> ,a \
[,,d,,a/] ,,c V,,d ,,a | V[,da{,,,a}1] V[,c,d{,,a}]";;
249;a moll;267v;Menuete;;10;;;3;",,,,,a/ ,,,d ,,a ,,c V,,d ,a | V[,cd,,a1] {a} [e,d{,a}] | \
[#c,d{,,a}1] e/ c #a/> ,c | [aa{,,,a}1] ,a V[c{,,a}/] ,,c | \
V[,,d{,a}/] ,a [,,#d,a{a}1]> ,,c | ";;
250;a moll;268v;Bourée;Losy?;11;;Conc_858;C;"e/ d | V[e,,,,a1] (,,a/ ,,c) V[,,d,,a1] ,,,,,c/ ,a | \
V[,c,,,d1] {4}/ ,c [,cd,,d1] (e/ c) | [#a{,,,a}1] {,,a}/ \
V,c {,a} ,c Ve ,a | [,ccd{,,a}1] ,,,,c/ ,c [,ccVd1] :| ";;
251;a moll;269v;Menuete;;12;;;3;"[,cd,,a1] ,,a [,,c,,b] | V[,,d,,a/] ,a ,,d ,,c [,,#a1] | \
V[e,,,,a1] [c,,,,c/] a V[,c{4}] a | [,#a{a}2] {,a}1 | \
V[c{,,a}1] [,,#d1]> ,,c | [,,#a{,a}1] ,,a/ ,,c V[,,d{,,a}1] | ";;
252;a moll;270v;Courente;;13;;;3;"V,c/ ,,a V,,c | V,,d1 ,,,,,a/ ,,d V,,c/> ,,a | {a}/ ,,c \
V,,d ,a V,c1 | {,a}/ (,,a ,,c) V,,d ,a1 | {,,a}/ ,a ,,d \
,,c V,,d c | [aad{,,,a}3/2]";;
253;a moll;271v;Aire;Losy;14;;Conc_1380;C;"[,,aVe,a1] [,,ae{a}] [,,ae{,a}] [,,ae{,,a}] | [,,ae{,,,a}1] \
[,,'c/]> ,,a {,,a}/ ,,,d ,,,,c1 | [,,aVe{4}1] [,,ae{,,,a}] \
[,,ae{,,a}] [,,ae{,a}] | [,,#a{,,a}3/2] ,,,d/4 ,,a [,,aVe1] \
,,,,,a | V[,h,,,a1] V[,h{a}] V[,h{,a}] V[,h{,,a}] | ";;
254;a moll;272v;Menuete;;15;;Conc_2715;3;",,,,,a1 V,c/ ,a ,,d ,,c | V,,d1 ,,,,,a {a} | {,a}1 ,a Ve | \
['d,c{,,a}2] {,,,a}1 | {4}1 e/ c V,d ,c | V[,d{,,,a}1] \
,,a/ ,,c V[,,d,,a1] | ";;
255;a moll;273v;Bourée;;16;;Conc_2716;C;"V,c1 | [,,aVe,a1] [,,c{a}] V[,,d{,a}] [,,'c{,,,a}/]> ,,a | \
V[,,,dc1] {,,a} [,,,dc] V[,c{4}/] ,,a | [,,c{,,,a}1] V,,d/ \
,,c [,,'c{,,,a}/]> ,,a ,,,d/ ,,a | [,,aVe1] ,,,,,a [,,ae] \
#c/> a | ";;
256;a moll;274v;Gigue;;17;;;3;"V[,,d,,a1]> ,,c ,,a1 | [aVd2] [,c{a}1] | [,#a{,a}2] Ve1 | \
['d{,,a}2] ,c1 | V[,,d,,a1]> ,,c ,,a1 | [,#a{,a}1]> ,,d \
,a1 | [,ccd{,,a}3] :||: [,,h{,,a}1]> ,,h g1 | ";;
257;a moll;275v;Menuete;;18;;Conc_1481;3;"[,cd,,a/] ,a V,c a [,c,,,c] a | [,c,,,d/] ,a ,,d ,,c \
[,,#a1] | [,,c{,,,a}/] ,,d ,a (,,d ,,c ,,a) | [,,,d{,,a}/] \
,,,e [,,,'d] ,,,,e ,,,,c1 | ";;
258;a moll;276v;Canarie;;19;;Conc_1477;3;"[,,aVe,a1] V,c ,,c | V[,,d,,a1] ,,,e ,,,,c | [,c,,,d1] \
[e,,,a] V[g{,,,a}] | ['d{,,a}1] ,,,,c ,,,,a | V[,c,,,d1] \
[,ca,,e] Ve | [#aa,,a1]> a [,c{,,a}1] | [,#a{,a}/]> ,,d \
[,,'cc{a}1]> ,,d | ";;
259;a moll;277v;Courante;Hinterleithner?;20;;Conc_1484;3;",c/ ,,a ,,c | [,,d,,a1] ,,,e a | [,c,c1] [,a,a] ,a | \
[,,d,c1] [,,c,a] ,,d | [,,a,cd1] ,,,,a/ ,,,a ,,c [,,ae] | \
[,,,dc1] {,,a} ,,,,c/ ,,,,a | ,,,,,d/ ,,a [,aa,,c1] [,,,'d] | ";;
260;a moll;278v;Gigue;Losy;;;;12/8;",,a1 [,,,'d/] ,,a1 ,,c/ ,,d1 ,,a/ ,,d1 ,a/ | ,c/ ,,,e \
[,,,'d1] ,a/ [,,de1] ,,,,,a/ ,c1 ,e/ | ['d{,,a}1] ,a/ \
[e,,,,a1] ,c/ ,,d ,,,e ,,c [,,,'d] | ";279v-280v rastriert, aber nicht beschrieben. 281r-v Leerseiten.;279v-280v gridded, but not used. 281r-v empty pages.
;;;L'accord francaise se change en ce [Eb] du Ton B avec la tierce dure;;;;;;;;
261;B dur;282v;Prelude;;1;;;C;"{d}/ ,a a ,a ,,b ,a {,a} ,,d a ,,d ,,,a a {a} ,,b ,b ,,b \
[,,'a] a [,'a{d}/]> ,,d V,,b/4 ,,,d V,,,c ,,b ,b ,,b";;
262;B dur;283v;Aire;;2;;;C;"V[,,ba{d}1] [,,ba] [add,,a] [add] | [,aVb{d}1] V,c/ ,a \
V[,,de{,a}1] [,,de] | [,,ff{a}1] [,,ff] [,,,fd{,,,a}] \
{,,a}/ ,,d | [,,#de{,a}3/2] ,,,f/4 ,,d [,,ba{d}1] [,,ba] :| ";;
263;B dur;284v;Gavotte;;3;;;C;"[aab{d}1] [aab] | [c,b,b1] ,d/ c [,#b{a}] ,a V[,b,,,a] ,d | \
[,ab{d}1] [,aba] [a,d,,a] #a/> ,b | [,aVb{d}/] c ,,b a \
{4} ,,,c [,'c/]> ,c | [aVd{a}1]";;
264;B dur;285v;Menuete;;4 - Du commencement;;;3;"[,aVb{d}1] ,,b/ ,,d ,a V,b | [ad,,,a1] [ada] #a/> ,,a | \
[,,b{a}1] V,b/ ,d [,#b/]> ,a | V[,,da{,a}1] ,,,a [,,da] | \
[,,,aa{,,,a}1] V,,b/ ,,d [,,#b/]> ,,a | [,,,c{,,a}1] ,,a \
V[,,b{,,,a}] | ";;
265;B dur;286v;Bourée;;5;;Conc_515;C;"V,,b/ ,,d | ,a1 [,ab{d}/] V[,b,,,d] [a,,,a1] V[c{,,a}] | \
[,,de{,a}/]> ,,d ,a/ ,b [,aba{d}1] [,#b/]> ,a | [,,da,a1] \
[,ad{,a}/] ,,d [,,#ba{a}] ,a [,,d{,,a}] ,,b | [,,'aa1] \
{,a} [,,aa] :| ";;
266;B dur;287v;Gigue;;6;;Conc_4640;3/8;"a/ | [,aVb{d}/]> ,,d V,,b/ | V[,,da,a/]> ,,b V,,a/ | \
[,,bc{a}/]> ,,d V,,b/ | [,,'aa{,a}/]> ,,,c V,,,a/ | \
[,,,c{,,a}/]> ,,a ,,,c/ | [,,,'a{,,,a}/]> ,,,,b V,,,,a/ | \
V[,,,,b{4}/]> ,,,,d ,,,,b/ | ";;
267;B dur;288v;Aire;;7;;;C;"V[,,ba{d}1] ,,b/> ,,d [,aVb{d}1] V,,d/ ,,b | [a,d,,a1] \
#a/> ,b [,aVb{d}1] [,aba] | [,bdc{4}1]> [,bdc] [a{,,,a}] \
,,a ,,b {,,a} | {,a}/ ,,d [,,#b/]> ,,a V[,,ba{d}1] [,,baa] :| ";;
268;B dur;289v;Gavotte;;8;;;C;"[,aVb{d}1] V[,,d,,a] | [,aVb{d}1] V[,,d{,,a}/] ,,b \
[,,'aa{,,a}1]> [,,aa] | V[,,b{,,a}1] ,,,a [,,,c{,,a}/] \
,,a V,,b ,,d | [,a{,,,a}/] ,b a V,,b [,,'aa{,a}1] V[,,bc{a}] | \
V[,,da,a1] ,,,a [,aVba{d}] V[,,da,a] | ";;
269;B dur;290v;Menuete;Losy;9;;;3;"[aab{d}/]> c #a/ ,b [,'a] ,,d | [,aVb{d}1] ,,b V[f{a}] | \
[e,d{,a}1] {,,a}/ e [f{,,,a}1] | [c{,,a}/] a Vc d 'c1 | \
[aab{d}/]> c #a/ ,b";;
270;B dur;291v;Bourrée;Losy?;10;;Conc_881;C;"#a/> ,b | [,'a{d}1] ,,d/ ,,b a1 Vf | [ed{,a}3/2] ,f/4 e \
,d1 V[f{,,,a}/] a | V[c{,,a}1] Vd/ c [#a,a{,a}1]> ,b | \
[,'a{d}/]> ,,d (,,b ,,d) (,a ,b) [a,d,,a/]>";;
271;d moll;292v;Aire / Jesu du wirst jetzt verrathen;;;;Conc_2765;C;"[e{,,,a}1] [c{,,a}] [a{,a}] [,c{a}] | [,a,,,b1] [,c{a}/] \
c [,,'e,,a1] ,,a | [e{,a}1] [c{,,a}] ['a{,,,a}] [,c{a}/] c | \
[,,'e,,a1]> ,a [,afa{,,,a}2] :| ";;
272;d moll;293r;Menuet;;;;Conc_2752;3;"[,d,,a{,,,a}/] ,c ,a ,d ,c ,a | [,,e,,a/] ,,c ,,a ,,,c \
,,,a1 | [,,b{a}/] ,,a ,,,c ,,,a ,,,,c ,,,,a | [,,e,,a1] \
,,c/ ,,e ,,a1 | [,d,,a/] ,c ,a1 [,ce,,a] | ";;
273;F dur;293v;Pensu;;;;;3;"[a{,a}1] e [f{a}] | [h,,,,a1] [f{a}] [,h{,a}] | [f{a}1] \
[,h{,a}] [,f{4}] | [,h{,a}1] ,f/ ,h a1 | {,a}1 ,,a \
[,,b{a}] | [,,d,,a1] [,,b{a}] [,,a{,a}] | [,,'b{a}1] \
,,a [,,,'c{4}] | ";;
274;d moll;294r;Menuet;;;;Conc_3964;3;"[e{,,,a}1] ['c{,,a}2] | [e{,a}1] ,a ,a | [f{a}1] [e{,a}2] \
 | [f{a}1] ,a ,a | [e{,a}1] [c{,,a}2] | [e{,a}1] ,c c | \
[c{,,a}1] e/ c [,d{,,,a}] c | ";;
275;d moll;294v;Air;Losy?;;;Conc_509;C;"{,a}/ {,,a} | {,,,a}1 k i ,h/ {a} | [k{,a}1] ['i{,,a}] \
[kh{,,,a}] {,a}/ {,,a} | {,,,a}1 ,d/ ,a [fa{a}1] [ec,,,a] | \
[,a,,,b/] e 'd/> e [ece,,a1] :| ";;
276;F dur;295r;Gig;Losy?;;;Conc_1500;3/8;",,d/ | [,,d{,a}/] ,,f ,,d | [,,d{,,a}/] ,,f ,,d | [,a{,,,a}/] \
,c ,d | [,'c{4}1] a/ | [a,,,,a/] e a | [,a,,,b/] ,c ,a | \
[c{a}/] f c | [,c{4}1] :| ";;
277;F dur;295v;Aria / P. Domin.;Pater Dominicus;;;Conc_2778;3;"[,,,a{,a}1] [,,d,,a] [,a,,,b/] ,,d | [,,#b{a}1] {4} \
[,,aa{,a}] | [,,d{,,a}1] [aa{,,,a}] [c,,,,c/] a | [,c,,,d1] \
{4} [,ac{a}] | ,,,,,a/ a {a} ,c {,a} ,a | ";;
278;d moll;296r;Aria;;;;Conc_4104;C;"[,aa{,,,a}1] ,c/> ,c [ad,,a1] [,c,,,d] | [,a,,,b/] ,,e ,a ,c \
[,,'e,,a1] ,,a | [ada{,a}/]> c 'a/> ,c [,'a,,,b/]> ,,d ,,d/> \
,,d | [,,,'c{4}3/2] ,,,a/4 ,,,,c [,,,ad{,a}2] :| ";;
279;C dur;296v;Air / O! Sanct Anna, dich wir grüssen;;;;;C;"[,,,c{4}1] ,,d/ ,a [,,c{a}/]> {,a} [,,d{,,a}1] | \
[,a{,,,a}1] [,c{4}/] a [,acc{a}1] [,a{a}/] {,a} | \
[,c{,,a}1] [a{,,,a}] [c{4}] [,c,,,d] | [,d{,a}1] [,a{a}/]> \
,,d [,,dc{4}2] :| ";;
;;;;;Eingeklebtes Blatt mit anderem Format, Folio 297;Glued leaf with other format, folio 297;;;;;
280;d moll;297r;Gique;;;;Conc_1496;3/8;",,a/ | ,,,,a/ ,a ,,a | ,,,,,e/ (,a ,c) | ,,,,a/ a ,a |  [,,,,,(b/] ,a [,,,,,a)] |  \
{a}/ (,c ,a) | ,,,,,a/ ,,e {a} |";;
281;d moll;297r;Bouree;;;;Conc_4638;C/;"e1 | [aa,,a/] c a1 [,c,,,d/] (,d ,c1) | [,ab{d}1] ,,,a/ ,a [,ab{d}1]  [,,da,a] | \
[,,bc{a}1] (,,d/ ,,b) | [,,aa{,a}3/4] (,,d/4 ,,b ,,a) (,,,c ,,,a) | \
[,,,cc1] {4} [,,,cc] :| ";;
282;d moll;297r;Minuett;;;;Conc_2754;3;"[,aa,a1] [,Vca,,e] [,ca,,a] | [,Vda,a1] ,d/ ,c ,,,,,b ,a | {a}/ ,c ,,,,,a > ,,f ,,e > ,a | \
[,a,,a/] ,,e ,a ,c X,a1 |  ";;
283;d moll;297r;Minuett;;;;Conc_2354;3/4;"[,,a,a1] ,a/ | [,,'e,,a3/2] ,a/ ,c1 | [a,,,a1] c/ a ,c ,a | [,,e,,a] V,c Ve | \
[,,a,a1] ,a/ | [,,'e,,a3/2] ,a/ ,c1 |";;
284;d moll;297r;Minuett;;;;Conc_1980;3/4;"[Ve{,,,a}2] ,a1 | [,,Ve,,a2] [,a,,,c1] | [,Vca,,a1] ,,a ,c | \
[ac,,a1] (c/ a) (,c ,a) | [Ve{,,,a}2] ,a1 | [,,Ve,,a2] [,a,,,c1] |";;
