PieceNr;Key;PageNr;Name;Composer;Comment;Tuning;Concordances;TimeInz;Tab;deuNotes;engNotes
49;c moll;53v;Sarabande;F.Dufault;11;;Conc_342;3;",,d1 | [,,d{4}/] ,,d [,,dcbd1]> ,a | [,,'c{a}/]> ,,c \
[,,cca1]> ,,d | {b}/ ,,d ,,,d ,a ,,,c ,b | ,,,,d/ ,,,d ,b ,a \
[,bbc{,,a}1] | ";;
50;c moll;54v;Gig;F.Dufault;12;;Conc_425;3;",,d1 | [,,dcb{4}2] ,a1 | ,b1 ,a1> ,,d | 'c1> a c1 | \
[,'b1]> ,a ,,d1 | [,,c{a}2] ,,,,a1 | ,,,c1> ,,,a ,,,c1 | \
,,,,b1> ,,,c ,,d1 | ";"55v-57v rastriert mit Seitennummern (13-15), aber leer; 58r-v Leerseiten.";55v-57v gridded and paginated (13-15), but empty. 58r-v empty pages.
;;;L'accord francaise se change en ceux [F# C#] du Ton D avec la tierce dure;;;;;;;;
51;D dur;59v;Prelude;Gaultier?;1;;Conc_1618;C;",a1 {,,,a}/ ,,,,a ,,,b ,,a ,a ,c V,e ,a e {,,,a} {4} e ,c c \
{,,,a} ,e c Ve {,,a} e #c ,e";;
52;D dur;60v;Aire;;2;;;C;"V[,ea{,,,a}/]> c [,#c/] ,a [,,ee,a1] [,,ee] | \
[,aa,,c1] ,,,,,e/ V,c V[,ea,a1] {,,,a} | [#c{,,a}/]> ,e \
[,#c/] ,a [,,e,,a] ,a [,c{4}] [,e{,,,a}/4] ,,c | ";;
53;D dur;61v;Pastorelle;;3;;;3;",,a1 [,aVf,a2] e/ c | V[,e{,,,a}/] ,c [,#a] ,,e [,,#c] \
,,a | [,,,d{,,a}/] ,,c ,c ,e [,#c] ,a | [,,ee,a1] ,,,,c \
[,e,,a/] c | ";;
54;D dur;62v;Gavotte;;4;;;C;"[,aab{,,,a}1] [,ca,,e/] Ve V[,e,,a1] [,#c/]> ,a | V[,ca,,e1] \
,,,,,a [,af,a] {,,,a} | [,ca{4}1] Ve/ c V[,ea{,,,a}] ,c \
[,#a/]> ,,e | [,,cd{,,a}1] [,,#a3/4]";;
55;D dur;63v;Menuete;;5;;;3;"V[,ea{,,,a}1] {,,a} [dc] | [e,e,,a1] e/ d V[e{4}1] | \
V[g{,,,a}1] [#e{,,a}1]> ,g | [e,,,,a/] ,g e g #e1 | \
V[,ea{,,,a}1] {,,a} [dc] | [e,e,,a1] e/ d V[e{4}1] | ";;
56;D dur;64v;Echo;;6;;;C;"Ve1 | [,ea,a1] V[,ca{,,,a}] V[c{,,a}] | V[e{,a}/] c ,e ,c \
[,#a1] V[g{a}] | [#e{,a}1] {,,a}/ c [,ea{,,,a}] \
,c V,e c | [,#ca,,a/] (,a ,c) ,e [,ca,,e1] V[,ea,a] | ";;
57;D dur;65v;Sarabande;;7;;;3;"V[,ea{,,,a}1] ,e/> ,c [,#a1] | [ec{4}1] e/> c V[,ea{,,,a}1] | \
[,,cc{a}1] V,,e [,aa{,a}] | [,cc{a}/] ,e [,#c/]> ,a \
[,,ee,a1] | [,aa{,a}1] ,a/ ,,a V[,,c{a}1] | ";;
58;D dur;66v;Gavotte;;8;;Conc_2810;C;"[,aab{,,,a}1] [,aab] V[,ca,,e] [,ca] | V[,ea,a/]> c [,#c/]> \
,a V[,ca,,e1] ,,a | [,aa,,c/]> ,,,,,c [,,,,,#a/]> {a} \
[,aa{,a}/] ,c V[,e{a}] c | [,#ca,,a/]> ,a ,,e/ ,a [,af,a1] \
{,,,a} :| ";;
59;D dur;67v;Menuete;;9;;;3;"V[ea{,,,a}/] c ,e (,c ,a1) | V[ga{a}1] ,a [#e{,a}] | \
[c{,,a}1] ,,e Ve/> ,c | V[,ea{,,,a}1] ,e/ ,c [,#a1] | \
V[,ca,,a/] ,a ,,e ,,c [,,#a1] | ";;
60;D dur;68v;Bourée;;10;;Conc_2812;C;"e/ c | V[,ea{,,,a}1] [,c{,,a}] [,aa{,a}] [,#c{a}/]> ,a | \
[,,ee,a1] ,,,,,c/ ,a V[,ca,,e1] V,e/ c | ([,ea,a1] [,ca,,e]) \
[,a,,,c] [,#c{a}/]> ,a | [,,ee,a1] ,,,e ,,,,,a";;
61;D dur;69v;Gigue;;11;;;3/8;",a1 ,,a/ | V,,c/> ,,a ,,,c/ | [,,,'b{,,,a}1] ,,,,,a/ | \
V,,,,,c/> ,,,,,a {a}/ | [,,a{,a}/]> ,,c ,,a/ | [,,,c{,,a}/]> \
,,a ,,,c/ | [,,,'ba{,,,a}1] ,,,,a/ | [,,,b{,,,a}/]> \
,,,d V,,,e/ | ";;
62;D dur;70v;Prelude;Gaultier?;;;Conc_1618;C;",a/ {,,,a} ,,,,e ,,,e ,,a ,a [,'c] ,e ,a e {,,,a} {4} e ,c c \
{,,,a} ,e c e {,,a} e c/> ,e c/ ,,e";;
63;D dur;70v;Menuete;;;;Conc_2811;3;"[,,aba{,,,a}1] ,a ,,e | [,,cc{a}1] ,,e ,a | [,c,,,e1] [,e,,a] \
c | [,'c,,,a/] ,,,,,c ,,,,,a {a} [,,a{,a}] {,,a} | \
[,,aba{,,,a}1] ,a ,,e | [,,cc{a}1] [c{,,a}] [,e{,a}] | ";;
64;D dur;71v;Gigue;;;;;3/8;"[,ea{,,,a}3/2] | ['ea{,a}1] e/ | {a}/ g ,a | {,a}/ e ,a | \
{,,a}/ c ,,e | {,,,a}/ ,e ,,c | {4}/ ,c ,,a | ,,,,,c/ ,a \
,,,d | ";;
65;h moll;72v;Air;J.S.Bach?;;;;3/4;"[,e,,,c/] ,c [,'a1] ,,e/ ,,c | [,,'b{4}1]> ,,b [,,c{,,,a}1] | \
,,c/ [c{,,a}] [c{,,,a}] ,,c [,,b{4}] ,c | [,acbac1]> \
[,a{,,a}] [,a{,a}/] ,,e | {a}/ ,,c/4 ,c [c{,,a}/]";In Giesberts Barocklautenschule als Bach-Komposition bezeichnet;In Giesbert's baroque lute tutor called a work by Bach
66;D dur;73v;[Sarabande?];;Da Capo;;Conc_2631;3;",e/ ,c [,'ca,,a1]> ,a | [,a,,,c/] ,,,,,e ,,,,,c ,,,,,a \
{a} {,a} | [cc{,,a}1] ['cc{,a}1]> ,e | [,ce1] ,,,,,a {a} | \
[eea{,a}1] {a} ,,,,,a | [,a,,,c1] ,,,,,c/ ,,,,,a {a} {,a} | ";Klingt ähnlich wie Kellner. 74r-v Leerseiten;Sounds like Kellner. 74r-v empty pages.
;;;Accord francaise ordinaire du Ton D avec la tierce molle;;;;;;;;
67;d moll;75v;Prelude;;1;;;C;",,,,a/ ,d e ,c c ,,,,,e ,,a ,c c ,,,,,f ,,a V,d (,,,,,f \
,,,,,d) ,,a ,c (,,,,,a ,,,,,b) ,,a ,a ,,,c ,c";;
68;d moll;76v;Air;;2;;;C;"[,,aa{,,,a}1]> ,,,c [,,,#a/]> ,,,,c [,aaa{,,,a}1] | \
V[,,dc{,,a}/] ,a ,,d ,,b [,,'aa{,a}] ,,,c/4 ,,a ,,,a/ ,,a | \
[,,,cc{4}/] ,,,c ,,a ,,,,c [,,,ac{,,,a}] ,,,c ,,a ,,,,,d | ";;
69;d moll;77v;Gavotte;;3;;Conc_508;C;"[eda{,,,a}1] [#c{,,a}/] (e/4 c) [aVd{,a}1] [,'c{a}/]> ,a | \
[,,ee,a1] ,,,,,c/ ,a V[,ca,,e1] ,,a | [eda{,,,a}1] [#c{,,a}/] \
(e/4 c) [aVd{,a}1] [,'c{a}/]> ,a | [,,ee,a1]";;
70;d moll;78v;Menuet;;4;;Conc_4558;3;"[,aaa{,,,a}/] ,,e ,a ,c a ,a | V[,ca,,e1] ,,,,,a [ec,,,d] | \
[,#a{d}1]> ,,e ,a1 | ([,c,,,a/] ,a) ,,e (,,c ,,a) ,,,c | \
[,aaa{,,,a}/] ,,e ,a ,c a ,a | ";;
71;d moll;79v;Bourée;;5;;Conc_2196;C;"(e/ f) | V[eaa{,,,a}1] V[,ca,,e] [aa,,a] (c/ e) | \
[#c{a}/] a (,c ,a) [,,ee,a1] (a/ c) | [#aa,,a1] [,c,,,d] \
[,ab{d}] (,c/ ,a) | [,,ee,a1] ,,,,c [,,aa] :| ";;
72;d moll;80v;Menuete;Losy;6;;Conc_2762;3;"[,,aa{,,,a}1] ,,,,a [,,aa] | V[,,b{,,a}/] ,,d [,,#b] ,,a \
,,,c1 | [,,aa{,a}1] ,a [,,ec{,,a}] | [,ae{,,,a}/] ,,e ,a \
,c [,#a1] | V[,ca,,e1] ,,a e/> c | [#aa,,a3/2] ,c/4 a \
[,c,,,d1] | ";;
73;d moll;81v;Air;;7;;;C;"[ed,,a1] #c/> a [c,,,c1] [#aa,,a] | [,ca,,e1] (e/ c) \
[#aa,,a1] {,,,a}/ {,,a} | {,a}/ e ,,d (e f1) {a}/ {,a} | \
{,,a}/ c V,d c V[e{,a}1] {,a}/ {a} | ";;
74;d moll;82v;Menuete;;8;;Conc_2809;3;"[,,aa{,,,a}1] ,a [,,ec{,,a}] | [,ae{,,,a}1] ,a/> ,d [,'c/]> \
,a | ,,,,,e/ ,c ,,a ,a (e c) | [#aa,,a1] ,c/ a [,#a1] | \
[,,aa{,,,a}1] ,a [,,ec{,,a}] | ";;
