Piece Nr;Key;Page nr;Name;Composer;Comment;Tuning;Concordances;TimeInz;Tab
63;G dur;110;Capricio;;;Mandora;Conc_5007;3/4;",,,,a/ ,,c ,c a ,,,,a f | ([e,,,,a/8] f h f e) (,h ,f/4 ,h) e V[f,,,f] | \
[c,,a/] (3c/4 d f) ,d/ (3,d/4 a c)"
64;G dur;110;Gavotta;;;Mandora;Conc_5008;C;"[,,c,a1] f '[e,,,,a2] | [c,,a1] (3c/4 a ,d) [ad,,e2] | \
[,d,,c1] (3[,d,,,a/4] ,c ,a) [,c,,a1] [,,c,e] | \
'[,a,a1] ([,,c,,a/] ,,b) V[,,c,a2] |"
65;G dur;111;Menuet;;;Mandora;Conc_5009;3/4;",,,,a/ ,c ,,,,c ,d ,,,,e a | [,d,,c1] (3[,a,,,a/4] ,c ,d) [,c,,a1] | \
,,,,,a1 ,,,,c/ ,d ,,,,a ,c | '[,a,,,a1] (,,c/ ,,b) [,,c,a1] |"
66;G dur;112;Gigue;;;Mandora;Conc_5010;6/8;"a/ | [f,,,a1] [a,b/] [,cc1] [,,bc/] | [,,c,e1] [,a,,,e/] [,c,,a1] [,d,,c/] | \
[a,,,e3/4] c/4 a/ [,d,,c] a [,c,,a] | \
'[,ab,,a1] ,,,,,c/ ,,,,,e1 [aab,,a/] |"
;;;[Sonata] No. XV Gallichone solo Del Sig.r Brescianello;;;;;;
67;g moll;114;Allegro;;;Mandora;Conc_5011;C;"y/ [,,c,a/] [,,c,a] [,,c,a] [,,c,a] [,,c,a] ,,c/4 (,a ,b ,d) | \
a/ [a,,,,d] [a,,,,d] [a,,,,d] [a,,,,d] [a,,,,d] a/4 c (e a) |"
68;g moll;116;Menuet;;;Mandora;Conc_4860;3/4;"[fffa1] ,f ,f | [fff,a1] ,f ,f | ([b,,a/] a) (,d ,b) ,a ,,c | \
[,,b,,a1] ,,c ,,,,a | [fff,a1] ,f ,f | [fff,a1] ,f ,f |"
69;G dur;117;Trio;;;Mandora;Conc_4849;3/4;",,,,a/ ,,c ,c ,,c a ,,c | [c,,a1] [a,,,e] [,d,,c] | \
'[,c,,a1] ,a [,,ca] | '[,,b,,a1] ,,c/ ,a ,,,c1 |"
70;g moll;118;Bourée;;;Mandora;Conc_5012;C;"a1 | [,,c,a1] V,,c [b,,a] [a,,,d] | [,,c,a1] V,,c ,,,c [,ab,,a] | \
V[,b,,a1] ,a/ ,,c [,d,,c1] (,b/ ,a) | \
[ab,,d1] [,d,a] '[,a,c] ,b |"
71;g moll;119;Menuet;;;Mandora;Conc_5013;3/4;"[,,c,a1] V,b/ ,d a1 | V[b,,a1] [ab] [ab,,d] | \
([,d,,c/] ,a) [,b,,a] ,,c [,a,a] ,,b | ,,,c1 a/ ,d a1 |"
72;g moll;120;Gigue;;p. 122 and 2 unnumbered pages empty;Mandora;Conc_5014;6/8;"([,,c,a/] ,,b) ,,c (,b ,a) ,b | [a,,,a/] ,d a (f e) f | \
([i,,,a/] h) i ([h,,a] i) ,l |"
;;;[Sonata] No. XVI Gallichone solo Del Sig.r Brescianello;;;;;;
73;d moll;123;Entrée;;;Mandora;Conc_5015;2/4;"[aaa,,a/] ,a [,a,b/4] (,,c ,,a) ,,,e | '[,,a,,a/] ,,,e/4 ,,a ,,,c ,a ,c ,e | \
[aaa,,a/] a/4 ,e (3a c d) ([c,,,a/4] a) |"
74;d moll;124;Menuet;;;Mandora;Conc_5016;3/4;",,,,,a/ ,,a ,a a ,,,,c ,e | [ae,,,d1] ,a [a,,,,a] | \
,,,b/ c ,a c ,,,,b c | V[d,a,,,a1] d 'a/ ,e |"
75;d moll;125;Siciliana;;;Mandora;Conc_5017;6/8;"[aaa,,a3/4] c/4 a/ [haa,,a] 'd 'a | [,e,,c3/4] a/4 c/ ,a ,,,e ,,,,c | \
[,,cb3/4] ,a/4 ,,c/ [c,,b] ',e ',a |"
76;d moll;126;Gigue;;;Mandora;Conc_5018;6/8;",,,,,a/ ,a a (d c a) | V[c,,b3/2] a | \
,,,,c/ ,e c (f d c) | V[d,,,,a3/2] a | \
,,,,,a/ (h f) (d c a) |"
;;;[Sonata] No. XVII Gallichone solo Del Sig.r Brescianello;;;;;;
77;Es dur;128;Aria;;;Mandora;Conc_5019;C;",b1 | [bbc,,a3/2] b/ [a,d,,c] b ,d a | \
[bbc,a1] ,,,,a/ ,,,,,c ,,,,,a1 f | \
(3[d,,c/4] b a) (3a ,c ,b) (3,b ,,d ,,c) [,,d,d1] |"
78;Es dur;130;Bourée;;;Mandora;Conc_5020;C;",b1 | '[,,c,,a1] (,,c/ ,,d) ,b1 b | \
'[a,,,d1] ,d/ a ,b1 [b,,,a/] ,b | \
,,,,b/ ,d ,,,,a ,b ,,,,,c ,,d [,b,,d1] |"
79;Es dur;131;Menuet;;;Mandora;Conc_5021;3/4;"[,b,,,a1] b f | '[d,,,d1] (b/ a) [b,,,,a1] | \
,,,,b/ ,d ,,,,a ,b ,,,,,c ,,d | '[,,c,,a1] ,,a/ ,,c ,,,d1 |"
80;c moll;131;Trio;;;Mandora;Conc_5022;3/4;"[fg,a1] [fg,a] [fg,a] | [fg,a1] (d/ b a) ,d | \
([b,a/] a) ,d1 '[,c,,a] | V[,d,a3/2] ,,c/ ,a ,c | \
V[,d,a3/2] ,,c/ ,d a |"
81;Es dur;132;Rigaudon;;;Mandora;Conc_5023;C;"[fg1] | [fg,,,a2] '[d,,,d] | ([b,,,,a/] a) b1 'b ,b | \
[,bc,,a2] '[,,d,d] | ([,,c,,a/] ,,a) ,,c1 ',,c [,b,,a] | \
[,d,,b1] Vb b [,d,,b] |"
82;Es dur;133;Menuet;;;Mandora;Conc_5024;3/4;"[,bc,,a1] b b | ([b,,,,a/] a) b1 'b | [,bc,,a1] f f | \
([f,,,,a/] d) f1 'f | ([,,c,,a/] ,,d) [,bc1] [,bc] |"
83;Es dur;134;Gigue;;;Mandora;Conc_5025;6/8;",b/ | [bbc,,a3/2] [,bc] | (,,c/ ,,a) ,,c ,,,d1 ,b/ | \
[b,,,,a/] ,b b [d,,c] ,b d | ([f,,,,a/] d) f b1 [f,,,,a/] |"
;;;[Sonata] No. XVIII Gallichone solo Del Sig.r Brescianello;;;;;;
84;Es dur;136;Aria;;;Mandora;Conc_5026;C;",b1 | [bbc,,a1] ,b [,b,,d/] b (3,b/4 ,,d ,,c) | \
X[,,c,,a1] ,,,,,a/ ,,,,,c ,,,,a1 ,b | \
[,d,,b/] b [b,,,b] ,d [,d,,b] b [b,,,b] ,d |"
85;Es dur;137;Bourée;;;Mandora;Conc_4950;C;",b1 | ',,c1 ,,a/ ,,c ,,,d1 (3a/4 b d) | \
'[a,,,d1] ,d/ a ,b1 [b,,,a/] ,b | \
,,,,b/ ,d ,,,,a ,b ,,,,,c ,,d ,b1 |"
86;Es dur;138;Menuet;;;Mandora;Conc_5027;3/4;"[,b,,,a1] X,b2 | ,,,,b1 (,d/ ,b) ,d1 | [ab,,d1] 'a (',b/ ,d) | \
V[b,,,,a1] (b/ a) b1 | [d,,c1] Xd2 | \
V[f,,,,a1] (f/ d) ,,,,a b |"
87;Es dur;139;Rigaudon;;;Mandora;Conc_5028;C;",b1 | [bbc,,a2] [,bac] | '[,,c,,a1] (,,a/ ,,c) ,,,d1 ,b | \
V[b,,,,a1] (b/ a) b1 [d,,c] | [f,,d1] (f/ d) f1 [,b,,a] |"
88;Es dur;140;Menuet;;;Mandora;Conc_5029;3/4;"V[,g,,,a1] (i/ g) i1 | V[,g,,,a2] [,b,,a1] | \
[,d,,b1] V,d '[a,,,d/4] ,d a/ | V[b,,,,a3/2] f/ ,,,d f | \
,,,c/ d ,,,a b ,,,,d a |"
89;c moll;141;Trio;;;Mandora;Conc_5030;3/4;"[b,,a1] Xb2 | ,,,,e/ a (f e) f1 | '[b,,a1] [a,,,d] [,d,,b] | \
'[,c,,a1] ,d/ a ,,c1 | [b,,a1] Xb2 | [ab,,d1] ,,b ,,c |"
90;Es dur;142;Menuet;;;Mandora;Conc_5031;3/4;"(,b/ ,d) a | [bc,,a1] b/ b b b | ([d,,,,a/] b) (a b) ,b b | \
,,,c/ (d b) d ,b d |"
91;Es dur;143;Gigue;;;Mandora;Conc_5032;6/8;",b/ | ([,,c,,a/] ,,a) ,,c (,,a ,,c) ,,,d | \
,,,c/ ,,a ,b ,,,,d1 a/ | ([b,,a/] a) b ,,,,c ,d d |"
