Piece Nr;Key;Page nr;Name;Composer;Comment;Tuning;Concordances;TimeInz;Tab
73;;36v;Menuet;;;Mandora;Conc_4851;3/4;"V[f,,,a1] [e,,,,a/] f h1 | V[f,,,a1] [e,,,,a/] f h1 | \
V[f,,,a1] e 'a | '[,c,,a2] [,a,,,a1] | \
'[,c,,a1] [,a,,,a/] ,c ,d1 |"
74;;37r;Trio;;;Mandora;Conc_4852;3/4;",,,,a/ ,b a1 f | [e,,,,a1] (e/ f h) a | ,,,,c/ ,d ,,,b ,d ,,,,,a1 | \
'[,b,,a1] (,b/ ,a) ,,c1 | ,,,,d/ a ,,,,a a ,,,a b |"
75;;37v;Gavotto 2;;;Mandora;;2/4;"[ac,,a1] 'a | '[,c,,a/] (,c/4 ,d) a/ ,d | [,c,,a/] (,c/4 ,d) a/ [c,,a] | \
'[,a,,,a/] ,,,,c ,,,,e ,,,,a | [ac,,a1] 'a |"
76;;37v;Aria - adagio;;;Mandora;;C;"[a,,,,a1] | '[,c,,a1] ,,,,c/ ,d ,,,,e ,,,a | \
'[,,b,,a1] ,,,,,c/ ,,c ,,,,,e ,a ,,,,,a a | \
,,,,a/ ,c ,,,,c ,d ,,,,e a ,,,,a c |"
77;;38r;Menuet;;;Mandora;Conc_4850;3/4;"[,,c,a1] a [a,,,c] | [a,,,e1] (f/ a) [c,,a] ,d | \
[ac,,a1] (,d/ ,c) ,a1 | '[,,b,,a1] ,,c/ ,a ,,,c1 |: \
,,,,,a/ a ,d1 [,d,,c] |"
78;;38v;Gigue;;;Mandora;;6/8;",,c/ | [,,c,a/] ,a ,,c [,,c,a] ,a ,c | [,,c,,a/] a ,,c [,,c,a1] ,c/ | \
[,c,,a/] a ,c [,c,,a] f ,c |"
;;;Partia;;;;;;
79;;39v;Marche;;Anugm: alla breve;Mandora;;C;"[bb,c,a1] | [bbc,,a3/2] [,bc/] [,bc1] [,dd,,a] | \
[,bc,,a1] (,,,d/ ,,,c) ,,,d1 ,b | \
[b,,,,a/] ,b b ,b [d,c] ,b d ,b |"
80;;40r;Menuet 1mo;;;Mandora;;3/4;"[bbc,,a1] ,b/ ,,,d (,,c ,,a) | [,,c,,a1] (,,a/ ,,c) ,,,d1 | \
'[,b,,,a1] 'b [dd,,b] | [ab,,d1] ,d/ a ,b1 | ,,,h/4 i ,g i"
81;;40r;Menuet 2do;;;Mandora;;3/4;"[bbc,,a1] (,b/ ,d) (,,c ,,a) | [,,c,,a1] ,,a/ ,,c ,,,d1 | \
'[,b,,,a1] 'b [dd,,b] | [ab,d1] ,d/ a ,b1 | \
,,,,a/ [bb] ,,,,,a [bb] ,,,,a [bb] |"
