PieceNr;Key;PageNr;Name;Composer;Comment;Tuning;Concordances;TimeInz;Tab;Montbuysson
55;;23v;Orlando Furioso;John Dowland;Orlando Sleepeth / Orlando Furioso;OT;ConcR29;none;"[aab,,a3] c1 [ea,c2] [caa,c] [aacc,a] h1 f [ea,c2] \
[caa,c] [aac,,a] c1 e [ea,c2] [caa,c] [aa,,,e] [acd,a] \
[,ea,c] ,c1 ,e [aacc,a2] [aac,,a] ||";
56;;24r;Inglesa;;Lord Zouch's Maske;OT;ConcR289;none;"[,,da,a2] [,dda{a}] [,,aa{a}3/2] ,,b/ [,,da{a}2] \
[,dd{a}1] ,,d [,a{a}] ,,d [,,aa{a}] ,,d [cdd{a}2] \
[,,dca3/2] ,a/ [,cd,a] ,d a1 [,ab,,d/] ,,d ,,b ,,d ,a ,c ,d1";
57;;24r;Bespersch Dantz;;The Voice of the Earth / The Ghost;OT;ConcR33;none;"[fh,a3/2] h/ [fh,a] d c a [,dda3/2] a/ [cd,a] a ,d ,c \
[,acc,a1] ,c/ ,d a ,d ,c ,a [,,dca1] ,,,c ,,d";
58;;24v;Courante;;;OT;ConcR379;3;"c1 | \
[caa{,a}3/2] d/ c1 | \
,a3/2 ,c/ ,d1 | \
[c,a3/2] ,,c/ ,,e1 | \
[,af2] f1 | \
[f,a3/2] h/ f1 | \
[e,h3/2] ,h/ ,g1 | \
,,a1 a ,d |";
59;;25r;Ballett;;;OT;;3;"[caac3/2] a/ ,d ,c ,a1 [,,ee/] ,a ,c ,,,c [,dda] ,,,,e [,da,c1] | \
[acd,a1] [ccdd,c] [c,,,e] ,b [ccee,c4] | \
[fd,a3/2] d/ c a ,d1 [,cd/] ,d";
60;;25r;[Tremolo];;;OT;ConcR93;none;",f1 h h h h ,e h h h h ,f h h h h ,,f h h h h || \
,d f f f f";
61;F dur;25v;[Brett's Courant];;;OT;Conc_3469;3;",,d1 | \
[,,da{a}3/2] ,,c/ ,,d1 | \
[,aba,d1] [,cd,a2] | \
[,dda2] {a}1 | \
,,,a2 a/ ,d | \
[,cd,a3/2] ,d/ [,ab,,d1] | \
[,,da,b3/2] ,a/ [,,bc,a1] | \
[,,,aa{a}3/2] ,,,c/ ,,a1 |";
62;;25v;Mag nicht aus Venus Schoß;;May Night at Venus's Court;OT;ConcR1089;none;"[cef,c2] [cef,c] [cef,c] [cef,c4] [df,c2] [cef,c6] \
[cef,c2] [cef,c] [cef,c] [cef,c4] [df,c2] [cef,c4] \
[hhi,,h2] [gfhe4] [gfh{e}2] [hef,,h6] ||";
63;c moll;26r;M. L. H. Courante Es wolt ein Megtlein Hochzeit;M. L. H.;;OT;;3;",,d1 | \
[,,dca2] [,ac,,e1] | \
[,bd,a3/2] ,,,,,e/ [,da,,c1] | \
[aab,,a2] a1 | \
[,,da{a}2] ,,,,a1 | \
[abd,a2] [,da,c1] | \
[abb,d3/2] ,,,,c/ [cbd,a1] | \
[dab,,d3/2] c/ [abd,a1] | \
[,da,c3/2] ,,,,a/ ,,,,,d ,,,,,c |";
64;;26r;Ach wie Soll ich doch in freuden [leben];;;OT;;none;"[dac,,a3] [caa,c1] [abb,d3] [,dba,d1] [,bdca] [,aabc] \
[,abcd] [,,dcd] [,aabc2] [,aabc] [caabc1] [caabc/] [caabc] \
[cc,,b1] [caa,c] [da,c,a3] [caa,c1] [abb,d2] [,ea,c2] [aacc,a3]";
65;;26v;Landtgraues Alman;;Don Frederico's Almain;OT;ConcR207;none;"z2 ,,d1 [,,dca] [,acc,a] [,bdca] [,db,c] [abb,d] [,d,,c/] \
[,b,,a] [,aba,d1] [abb,d] [,db,c] [,aba,d] [,bdca] [,,da{a}] \
[,acc,a] ,,,c/ ,,d ,,c1 ||";
66;c moll;26v;[When Daphne did from Phoebus Fly];Giles Earle;;OT;ConcR1105;3;",,d1 | \
[,bdca2] [,da,c1] [abb,d2] f1 | \
[ea,,,a3/2] f/ h1 [fcd,a3] | \
[a,,,d/] c d1 a/ ,b [,d,,,d1] ,a ,,b | \
[,,dca/] ,a ,b ,d [,acc,a] [,,dca] ||";
