Piece Nr;Key;Page nr;Name;Composer;Comment;Tuning;Concordances;TimeInz;Tab;TabNotation
79;a moll;77r;3.;;;Mandora;;3/4;",,,,a1 ,,c [,ab] | [,b,,a1] (,b/ ,a) [,b,,a1] | \
[,da,c1] ,d/ a Vb1 | [aba,d2] [ab1] | ,,,,a1 ,,c [,ab] | \
[,b,,a1] (,b/ ,a) [,b,,a1] |";french5tab
80;C dur;77r;4.;;;Mandora;;3/4;"[aba,d1] ,,a ,b | [,d,,c1] ,,a [,d,,c] | [a,,,d1] [,d,,c] [,b,,a] | \
[,da1] (,b/4 ,a) (,,c/ ,,a1) | [abac1] ,,a ,b |";french5tab
81;C dur;77v;5. Bauer;;;Mandora;;3/4;",,a1 V,b ,b | '[b,,a2] [a,,,d1] | ,d1 ,,a/ ,d [ab1] :||: \
,,a1 V[,,cd] ,,c | [,d,d2] [,b,c1] | ,a1 ,,a/ ,a [aba,d1] :||";french5tab
82;C dur;77v;6. Sarabande;;;Mandora;;3/4;"[ab,,d3/2] b/ [dd,,c1] | [,bc,a3/2] ,d/ [aaa1] | \
[bb,d1] f [db,c] | '[b,,a3/2] a/ [ab,,d1] | \
[cd,a1] ,,,,c/ ,,,,a [dd,,c1] | [fd,e1] f [haa] |";french5tab
83;C dur;78r;7. Aria;;;Mandora;;C;",b1 [ab,,d] d [dd,,c] | 'b1 [ab,,d] ,,,a/ ,,,c [,d,,c1] | \
[abacd1] [ab,,d] [,d,,c] [,b,,a] | \
[,da1] (,,c/ ,,a) [,d,,c1] [ab,,d] |";french5tab
84;a moll;78r;8. Treza;;;Mandora;;3/4;"f1 'e3/2 a/ | '[,cc,a3/2] ,a/ ,,c1 | ,,,c3/2 ,a/ ,,b1 | \
[,,cca2] a1 | '[,cc,a3/2] ,a/ ,,c1 | \
[,abc2] a1 | '[a,,,c3/2] ,e/ [aabcc1] :||:";french5tab
85;a moll;78v;9. Boure;;;Mandora;;C;"a/ ,d | '[,b,,a1] [,ab] [,bc] ,d | [,abc1] ,,,c ,,b [a,,,d] | \
[,,cd1] [,d,,c] [,db] a/ ,d | '[,b,,a1] ,a ,,c a |";french5tab
86;A dur;79r;10. Treza;;;Mandora;;3/4;"[,,cca1] (,a/4 ,c ,d/) [ac,,a1] V[cd] | [ac,,a1] V[cd] [ac,,a] V[cd] | \
'[c,,a1] [d,,c] [f,,e] ,,,,a | [,dca1] [,dc] [,dca2] :||:";french5tab
87;a moll;79r;11. Sarabande;;;Mandora;;3/4;"[,bc,a3/2] [,aa/] [,,bc1] | [,bc,d1] [,bc] [,da,c] | \
[,,cd1] [,d,a/] (,b/4 ,a) ,,c1 | '[,,bc1] ,,b [aa] |";french5tab
88;A dur;79v;12. Rondon;;;Mandora;;3/4;"[ac,,a1] (c/4 a) (,d ,c ,d1) | [ac,,e1] ,,c a | \
[cd,a1] a/4 c (d c d1) | [ff,,a1] a c |";french5tab
89;A dur;80r;13. Boure;;;Mandora;;C;",c/ ,d | [ac,,e1] ,,c [cd,a] [ea,c] | [ff,,a1] e/ c '[a,,,e1] [cd,a] | \
[ac,,e1] [,daac] [,db] [cc,a] | \
[,a,c/] ,,c ,a ,c '[,a,c1] ,c/ ,d |";french5tab
90;a moll;80v;14. Minuet;;;Mandora;;3/4;"[,,cca1] (,,c/ ,,b) ,,c1 | [,bc1] (,b/ ,a) ,b1 | \
[,,cd1] (,,c/ ,,a) ,,c1 | [,,bcc1] ,,,c ,,b | \
[,,cca1] (,,c/ ,,b) ,,c1 |";french5tab
91;a moll;80v;15. Courante;;;Mandora;;3/4;"V[,,c,a1] (,a/4 ,b) ,d/ a b | [aab1] ,a [aa] | \
[,,cd1] ,d ,d | [,dbc1] (,d/4 ,b) ,a/ ,b1 |";french5tab
92;G dur;81r;16. Aria;;;Mandora;;C;"[dda1] f '[f,,a] ,d | [,da,c1] a/ ,a [,bc,a1] [,bc] | \
[,b,,a1] ([,dca/] ,b) ,b1 ([,b,,d/4] ,a) ,,c/ | \
'[,,ca3/2] ,,,e/ [,aaf2] :||:";french5tab
93;d moll;81v;17. Sarabande;;;Mandora;;3/4;"[f,,d1] '[b,,a] a | [,d,d1] [,c,c] ,c | [,dd1] V[b,c] 'a | \
'[,cc,a1] [,dca2] | [i,,,h1] '[g,a3/2] f/ | [d,,,d1] [f,,d] ,b | \
[bbc1] [d,d] [bb] |";french5tab
94;G dur;81v;18. Aria;;;Mandora;;C;"[dda1] [fd,e] [haa] (h/ i) | ,,,,e/ ,f f1 '[c,,a] ,d/ a | \
[dda1] [fd,e] [haa] (a/4 c d/) | \
'[a,,,a1] (,d/ ,c) [,dca2] :||:";french5tab
95;g moll;82r;19. Minuet;;;Mandora;;3/4;",d1 [dda] (d/ c) | (f/ d) [g,a1] g | [,dca1] '[,b,,a] '[,,cd] | \
[,,a,b1] [,,c,d] ,,c :||: ,,c1 [,,d,b] ,,d | \
,e/ ,d) [ab,,d1] [ab] |";french5tab
96;g moll;82r;20. Aria;;;Mandora;;C;",d1 [daa] d (g/ f) | [c,,a1] ,d [d,,b] [bbcd] | \
[bb1] 'b/ ,e [,dd,b1] ,,d :||: ,,d1 [,dd,b] [,dd,a] [,da] |";french5tab
