Piece Nr;Key;Page nr;Name;Composer;Comment;Tuning;Concordances;TimeInz;Tab;TabNotation
22;;9v;Auff meinen lieben Gott;;;cittern;;C;",,c2 ,,c1 ,a | [,bc1] ,d [aab2] | z1 [ab] [aba3/2] ,d/ | \
[,bc1] ,d [ab2] | z1 [,aa] [,bc] [,aaa] | [ab1] a [,aaa2] |";french4tab
23;;9v;Mein Wahlfahrt ich vollendet hab;;;cittern;;C;"z1 [aba] [da2] | [bd1] [aba2] a1 | [,aaa1] [,bc] [,ab2] | \
z1 a [bd] [da] | [aba1] ,a/ ,b ,d1 [,bc] | [,ab2] [acc] :||:";french4tab
24;;10r;Wenn mein stündlein vorhanden ist;;;cittern;;C;",d2 ,,c1 ,a | [,cc1] [,de] [ac] c | [,dca2] z1 [cdc3/4] d/4 | \
[fh1] f [cdc] f | [df2] [cee] :||: [cdc2] [df1] [cdc] |";french4tab
25;;10v;Ich hab mein Sach Gott heimgestellt;;;cittern;;3;"[aab1] [abc] a | [,e2] [df1] | [ce2] a1 | [,ee3] | [,ee1] ,e ,e | \
[aab2] [,cc1] | [,ee2] ,,c1 | [aab3] | [cdc1] c c |";french4tab
26;;10v;Christus der ist mein leben;;;cittern;;C;",b2 [ab1] [,aaa] | [ab1] [bd] [daaa2] | [aba1] [fg] [df] [bd] | \
[ab1] [,aaa] [aba2] | z1 ,b [df] f | h1 g [fhh2] |";french4tab
27;;11r;Alle Menschen müßen sterben;;;cittern;;C;"[daaa1] d ,d a | [,dc3/2] ,b/ ,a1 ,,a | [,aaa1] ,,,a [,bc] [,aa] | \
[,,ca3/2] ,,a/ [daaa2] :||: [,aa1] ,a ,,c ,d |";french4tab
28;;11v;Hastu denn Jesu dein angesicht gäntzlich verborgen;;;cittern;;3;",b/ ,d a b d b | [aba3/2] ,d/ ,b1 | ,a3/2 ,,c/ ,,a1 | \
[,bc1] ,d a | [,aaa2] [aba1] :||: [dff1] d d | [fgf3] |";french4tab
29;;11v;Jesu meine Frewde;;;cittern;;C;"[aba1] a [,aaa] [,bc] | [,ab2] [,cc] | [acc1] a [cd] [ef] | \
f2 [ef] | f3/4 h/4 i1 [hkk3/2] f/ | [fgf4] :||:";french4tab
30;;12r;Jesu ich will auff dich hoffen. W.;;;cittern;;C;",a1 ,,a [,aaa] ,,c | [aba3/4] c/4 d1 [cdc] c | f1 c [df] [cd] | \
[ad3/2] ,c/ [cdc2] | [,aaa1] [df] [cb] [ab] |";french4tab
31;;12v;Wer nur den lieben Gott läst walten;;;cittern;;3;",,c1 | ,d2 a1 | [bdc2] a1 | [,dd2] [ad1] | ,c1 ,,c ,b | \
[,bc2] ,,d1 | ,,c2 ,d1 | ,,a1 [acc2] | [cdca2] :||:";french4tab
32;;12v;Briegel;;;cittern;;C;"[daaa3/2] ,,,a/ [ab1] [,de] | [,bc1] [,aa] [,,ca] ,,a | \
[,aa1] [,,ca] [,bc] [,ab] | [abc3/2] c/ [,ee2] :||: \
[cdc1] d f ,d |";french4tab
33;;13v;Aria;;ff. 14r-22v vacuo;cittern;;C;"[aabc1] a3/4 c/4 d1 c | [abc1] a [,ee2] | [,de3/2] ,b/ ,a1 a | \
[cee2] [,ab] | [aabc1] a3/4 c/4 d1 c |";french4tab
34;;23r;Ballet;;;cittern;;C;"[daaa3/2] ,,,a/ ,a ,,a ,,c ,a | ,b/ ,d ,a ,b [,,ca1] [daaa] | \
z1 ,,,a/ ,a [aba1] z/ [acc] |";french4tab
35;;23v;Ballet. Presto;;;cittern;;C;",,c1 | ,d1 a b d/ b | a1 ,d f f | ,d1 a b d/ b | \
[acc3/2] ,d/ [cdca1] :||:";french4tab
36;;24r;Ich nim zu mir mein Flagelet. Lento;;;cittern;;3;"[,bc1] ,b ,b | [,aaa2] ,a1 | [abc2] c1 | [daaa3] | [aba1] a a | \
[,aaa2] [,bc1] | [,ac2] [,bc1] | [,aaa3] | [dff1] d d |";french4tab
37;;24v;Ballet;;;cittern;;C;"[,bc1] [,aaa] [aba] [,bc] | [bdc1] [aba] [,aaa3/2] ,,,a/ | \
[abc1] [cd] [daaa3/2] ,a/ | [,,ca3/2] ,b/ [daaa2] :||:";french4tab
38;;24v;Sarabande;;;cittern;;3;"[aba1] a a | [,aaa2] ,b1 | [df1] b/ a ,d ,b | ,a1 ,,c/ ,a ,,a1 | \
[,bc1] [,aaa] [ab] | [,aaa2] [aba1] :||:";french4tab
39;;25r;Kraut undt rieben;;Bergamasco;cittern;;C;"[acc1] a [cdc] c | [aab/] c a ,d ,c1 ,,c | [,cc/] ,d a ,c ,d ,c ,a ,,c | \
,,b/ ,,c ,a ,,b [acc1] :||:";french4tab
40;;25v;Aria Keine nacht kein tag vergehet;Heinrich Albert;;cittern;;C;"[aba3/2] b/ [df1] d | [bdc3/2] b/ [aba1] a | [,bc1] ,b [,aa3/2] ,b/4 ,d | \
[,,ca3/2] ,,a/ [daaa2] | [,aaa1] [aba] [bdc] b |";french4tab
41;;25v;Aria Strobels;Strobel;;cittern;;C;",b1 d [df] f | [dd3/2] b/ [aba2] | [bdc3/2] d/ f1 f | \
[fg1] [efe] [ffg2] | [fg3/2] f/ [aba1] a |";french4tab
42;;26r;Lebt iemand noch wie ich, Strobel;Strobel;;cittern;;C;"d1 | [dff3/2] f/ [bdca3/2] d/ | [aba2] z1 d | [,bc1] [,aaa] [aba3/2] ,,,a/ | \
[,aaa2] z1 [df] | [fg1] h g l/ i |";french4tab
43;;26v;Ihr lieblichen blicke der schönen Astree;;;cittern;;3;"h1 | d3/2 c/ a1 | ,e1 ,a a | [cf3/2] c/ ,c1 | [aab2] ,a/ ,b | \
[,dc3/2] a/ ,d ,b | ,a1 ,,a a/ c |";french4tab
44;;27r;Sarabande;;;cittern;;3;"[,aa1] ,a [,aa] | [,,ca2] [daaa1] | [df1] d [df] | [cee2] [aab1] | \
[,aa1] [,bc] [,aaa] | [aba3/2] c/ d1 | ,d1 [acc2] | \
[cdca3] :||:";french4tab
45;;27v;Seith daß der tugendpfad krieger;Adam Krieger;;cittern;;C;",d/4 ,b | ,a/ ,,a [,aaa] ,,,a [aba3/2] a/ | \
,,c/ ,a/4 ,b ,d/ ,b ,a ,,c/4 ,a ,,a/ [,de] |";french4tab
46;;28r;Aria;;;cittern;;C;"[aba2] a1 f | [da3/2] b/ [aba1] a/ b | d1 [,bc] [,de] [ab] | \
[,aaa3/2] ,b/ [aba2] :||: \
z/ [,aaa] ,,,a a [bdc3/4] d/4 [ab1] a |";french4tab
47;;28v;Aria Strobel;;;cittern;;C;"z1 ,a/ ,b [,dca3/2] ,b/ | ,a1 ,,a z1 ,,a | [,bc1] [,aaa] a [,bc] | \
z1 ,b [,aaa] a | [bdc3] d/ b |";french4tab
48;;28v;Aria Strobel;;;cittern;;C;"z1 a ,,b ,,b | ,,c3 ,a1 | [,bc3/2] ,d/4 ,b ,a1 ,,a | \
z1 [,aa] [,bc] [,de] | [aba3] b/ a | [,baa3/2] ,a/ [aba2] :||:";french4tab
49;;29r;Aria;;;cittern;;C;"b1 ,,,a f3/2 d/ | b1 a [,aaa2] | [aba1] a [,aaa] [,bc] | \
[,ab3/2] ,,c/ [acc2] :||: [bdc3/4] d/4 f1 b f |";french4tab
50;;29v;Waß hastu doch o Welt;;;cittern;;C;",b/ | [,bc1] ,d [ab] ,d/ ,b | [,aaa3/2] ,b/ [,bc1] ,d | \
[aba1] ,d/ ,b [,aaa1] ,,,a | a3/4 c/4 d1 c d |";french4tab
51;;29v;Sarabande;;;cittern;;3;"[df1] d d | [cdc/2] a/ ,d1 | a/ ,d ,b1 ,a | ,,c1 ,a/ ,,c ,,a1 | \
[,aaa1] ,,c ,,,a | [ab3/2] c/ d1 |";french4tab
52;;30r;Lustig ich habe die liebste bekommen;;;cittern;;3;"[daaa1] d ,d/ ,b | ,a3/2 ,,c/ ,,a1 | [,bc3/2] ,d/ a1 | \
[,,ca2] ,,a1 | [,aaa3/2] ,b/ ,a1 | [aba2] ,,,a1 | \
[df3/2] f/ c1 |";french4tab
53;;30v;Allemande Mazarini;;;cittern;Conc_312;C;",a/ | [aab1] z/4 ,a ,c ,d a3/4 c/4 ,e3/4 a/4 | \
[aab1] h3/4 h/4 f/ d [cee3/4] a/4 | a/ h a c";french4tab
