PieceNr;Key;PageNr;Name;Composer;Comment;deuNotes;Tuning;Concordances;TimeInz;Tab;TabNotation
70;;26r;68. Ich libe du libest;;;;Cithrinchen;;3;",,a1 | [,,aaa3/2] ,,c/ ,,a1 | [,,cba3/2] [,aa/] [,bc1] | \
X[da3/2] ,b/ ,a1 | [aba1] ,,,,a || ,,a1 | \
,,a/ ,,,b ,,,a ,,a ,b ,a |";french5tab
71;;26v;69. Englisch Tantz;;;;Cithrinchen;;C;",d3/2 ,d/ ,d3/2 ,d/ | [,de2] [,aa] | ,b/ ,d a1 ,d ,b | \
[dba2] [aba] | ,d3/2 a/ c3/2 c/ | h2 ,a |";french5tab
72;;26v;70. Opera Menuet;;;;Cithrinchen;;3;"[,baaa3/2] ,a/ ,,c1 | ,a1 ,,a [,bc] | X[,ba3/2] ,d/ ,a1 | \
[aba2] ,,,,a1 || [,baaa1] ,d/ ,b ,a ,,c | ,a1 ,,a [,bc] |";french5tab
73a;;27r;71. Opera Schlaven Danß;;;"?From ""Don Pedro oder die abgestraffte Eyffersucht, in einem Singe-Spiel vorgestellt"" (Music: Johann Wolffgang Franck, 1679)";Cithrinchen;;C;"[,baaa3/4] a/4 ,d3/4 ,b/4 [da1] d | [da3/4] ,b/4 ,a3/4 ,b/4 X,,c1 ,,a | \
[da1] ,d3/4 a/4 [bd1] [ab] | \
[,de3/4] a/4 [,bc3/4] ,d/4 X[,aa1] ,b |";french5tab
73b;;27v;72. Variat:;;;;Cithrinchen;;3;"d/ a [,b,,a] a ,d ,b | [,da/] ,b ,a ,,c ,,a ,a | \
[,,cb/] ,,a ,,c ,a ,b ,d |";french5tab
74;;28r;73. Gigue;;;;Cithrinchen;;C;",b3/4 ,,a/4 ,,c3/4 ,a/4 ,b3/4 ,d/4 a3/4 b/4 | \
d3/4 a/4 f3/4 d/4 Xb3/4 a/4 [abaaa1] |";french5tab
75;;28r;74. Ach Philis mein außer[wählter];;Verte Zde Repetit.;;Cithrinchen;;C;",b/ ,d | a/ b d3/2 f/ d1 | Xb3/2 a/ b1 d | \
X,d3/2 ,a/ ,b ,d [,ded1] | ,d1 [abaa] c/ d f1 |";french5tab
76;;28v;75. Pargemas;;;;Cithrinchen;Conc_45;C;[df1] d [fg] f | d/ f d b [aba1] ,,,,a | a/ b d a b a ,d ,b |;french5tab
77;;29r;76. Nun schläfft Sie schon;;;;Cithrinchen;;C;",b/ | [abaaa3] d1 | [df2] a/ b d1 | [fg1] f Xd3/2 b/ | \
[aba2] ,,,,a1 a/ b | [df1] d Xb3/2 a/ |";french5tab
78;;29r;77.te Verzeihe mir Clorinde;;;;Cithrinchen;;C;",b1 | [,baaa1] [,,aa] [,,cb] [,a,a] | [aba1] ,,,,a2 ,,c1 | \
X,d3/2 ,b/ X,a3/2 ,,c/ | ,,a1 [,,adc2] d1 | [bd1] b [aba] a |";french5tab
79;;29v;78.te Leberger Danß, Schäfer und Schäferin ex Opra.;;;;Cithrinchen;;C;"[,baaa1] ,d a/ ,d ,b1 | X[a,,,a3/2] b/ d1 d | \
[fgf1] a [bd] d/ b | X[ab3/2] ,d/ [,da2] | \
[,baaa1] ,d a/ ,d ,b1 |";french5tab
80;;30r;79: fragstu noch warumb ich;;;;Cithrinchen;;C;",b1 ,b/ ,d [aba1] ,d/ a | X,d3/2 ,b/ [aba1] ,,,,a | \
[df1] [df] [fg] [df] | Xb3/2 a/ [aba1] ,,,,a |";french5tab
81;;30v;80. Englisch Tantz;;;;Cithrinchen;;C;"d1 | a/ ,d ,b1 ,a/ ,,c ,,a1 | ,,c/ ,a ,b1 ,a/ ,b ,d1 | \
[aba] ,,,,a2 || a1 | a/ ,d ,b1 ,a/ ,,c ,,a1 |";french5tab
82;;30v;81te Neulich kam ich zu Roselsgen;;;;Cithrinchen;;C;",b1 ,b a d | Xb1 a/ ,d a1 ,b | a1 a/ b ,d1 a | \
Xb1 a/ ,d Xa1 ,b |";french5tab
83;;31r;82. Gavott;;;;Cithrinchen;;C;",,a1 ,b X,a3/2 ,b/ | ,d/ a b d X[,da1] [aba] | \
d1 b/ a ,d1 e/ f | X[cd3/2] d/ [daa2] :||:";french5tab
84;;31r;83. Saraband;;;;Cithrinchen;;3;"d1 i d | f1 d/ b a1 | b1 ,d d | a1 ,b2 | \
d1 i d | f1 d/ b a1 |";french5tab
85;;31v;84. Bin ich den nur allein dazu;;;;Cithrinchen;;C;",,a1 | [,baaa3/2] ,d/ Xa3/2 d/ | [,bc/] ,d X[da3/4] ,b/4 [,baaa3/2] ,b/ | \
X,a3/2 ,b/ [,da3/2] ,,a/ | \
,,c/ ,a X,,c3/4 ,,a/4 [,aadc3/2] ,,a/ |";french5tab
86;;32r;85. Amena Erlaub mir im Garten;;;;Cithrinchen;;3;"d1 | [aba1] ,b d | d1 ,d3/2 a/ | X,b3/2 ,a/ ,b1 | [,da2] ,d/ a | \
[bd1] Xb3/2 a/ | [ab1] c d |";french5tab
87;;32r;Preludium;;Verte Cit: Allemand;;Cithrinchen;;C;",,,a/ ,,a/4 ,a a c d f h c d a c ,e a ,a ,b ,,c \
,a ,,a ,,c ,a ,,,a ||";french5tab
88;;32v;86. Allemand;;;;Cithrinchen;;C;"a/ | [aaa3/2] ,a/ ,,c ,a X,,a3/4 ,,,c/4 | \
,,,a3/2 h/ f h Xd3/4 c/4 | [ca3/2] c/ d a ,d ,b |";french5tab
89;;33r;87. Gavott;;;;Cithrinchen;;C;"[aaaa1] a/ c ,e1 ,a | [aaaa1] a/ c [daa2] | \
,c/ a ,d ,b ,a1 a | X,,c3/2 ,,a/ ,,a2 :||:";french5tab
90;;33r;88. Serraband;;;;Cithrinchen;;3;",a1 ,a a | X,d3/2 ,b/ ,a1 | ,b1 ,d ,a | X,,c3/2 ,,a/ ,,a1 | \
,a1 ,c ,d | a3/2 c/ d1 | f1 Xd3/2 c/ |";french5tab
91;;33v;89. Allamanda;;;;Cithrinchen;;C;"a/ | [aaaa3/2] h/ [hi3/2] f/ | [df/] f Xc3/4 a/4 ,e1 ,a/ ,,c | \
,,a/ a ,,,c ,e [aaaa3/2] c/ |";french5tab
92;;34r;90. Courant;;Verte Allamande;;Cithrinchen;;3;"a1 | [aaaa3/2] c/ d1 | f1 Xc3/2 a/ | [,ee3] | ,a1 ,,c ,a | \
X,,a3/2 ,,,c/ ,,,a1 | ,f1 X,d3/2 ,b/ | [,aa3] |";french5tab
93;;34v;91. Allemande;;;;Cithrinchen;;C;"[,baaa3/2] ,b/ [,da] a b d | a/ ,b ,,a ,,,a ,,,,a1 ,b/ ,d | \
a/ b d ,a ,,c d X[cd3/4] d/4 |";french5tab
94;;35r;92. Allemand P.P. Hopp;;;;Cithrinchen;;C;",b3/4 ,b/4 | [,baaa1] X[,da/] ,b/4 ,d [abaaa3/2] [bd/] | \
[df/] [fg] [bd] [ab] X[,da3/4] ,b/4 [,baaa1] | \
[abaaa3/4] c/4 [da/] [,bc] X[,aa3/4] ,,c/4 ,,a/ d |";french5tab
95;;35v;93. Courant;;;;Cithrinchen;;3;",b3/4 ,b/4 | [,baaa3/2] ,b/ ,a ,,c | X,,a1 ,,,a [,,cb] | \
[,,aa1] X[,,,bc3/2] ,,,a/ | [,,,aa2] ,,,a1 | \
[,,,bc3/2] ,,a/ ,,c ,a | [,bc3/2] ,d/ [ab1] |";french5tab
