PieceNr;Key;PageNr;Name;Composer;Comment;Tuning;Concordances;TimeInz;Tab;Pratum Musicum Longe Amoenissimum 1984
39a;;49v;O Vilanella.;;Canto;OT;;C;"[cdda1] [cdda] [cdda] [acd,a2] [cddaa1] | \
[dab,,d2] [abd,a1] [abb,d2] [,ddef1] | \
[,cdca2] [,cdca1] [,ddef] [,ddef] [,ddef] |";
39b;;49v;O Vilanella.;;Tenore;OT;;C;"[,dba,d1] [,dba,d] [,dba,d] [,dda,,a2] [,dba,d1] | \
[abb,d2] [,dda,,a1] [,bdd,b2] [,aba,d1] | \
[,,def2] [,,def1] [,aba,d] [,aba,d] [,aba,d] |";
39c;;50r;O Vilanella.;;Alto;OT;;C;"[aacc1] [aacc] [aacc] [,ea,c2] [aacc1] | \
[acd,a2] [,da,c1] [,dda2] [,acc1] | \
[,aa,c2] [,acc1] [,acc] [,acc] [,acc] |";
39d;;50r;O Vilanella.;;Basso;OT;;C;"[acd,a1] [acd,a] [acd,a] [aac,,a2] [acd,a1] | \
[cdda,,a2] [aac,,a1] [,dba,d2] [,cdca1] | \
[,acc,a2] [,acc,a1] [,cdca] [,cdca] [,cdca] |";
40a;;50v;Als ick u vinde.;;(Canto) - Different intabulation from F-Pn28 / 20r and Rude1600 / E3v;OT;ConcR2410;C;"[,dda1] [,dda/] [acd,a] [cdda1] [aabc/] [fdaa] | \
[fdaa/] [dab,,d] [cdda1] [acd,a/] [dab,,d1] [c,d,a/] | \
[abb,d/] [,dda] [,cdca/4] ,d ,c/ [,dda] [,dda] [,dda] [acd,a] |";
40b;;50v;Als ick u vinde.;;Tenore;OT;;C;"[,aba,d1] [,aba,d/] [,dda] [,dba,d1] [,bdca/] [,aba,d] | \
[,aba,d/] [abb,d] [,dba,d1] [,dda/] [abb,d1] [,dda,,a/] | \
[,bdd,b/] [,aba,d] [,,d,f/4] ,,,f ,,,e/ [,ab,,d] \
[,ab,,d] [,ab,,d] [,dda] |";
40c;;51r;Als ick u vinde.;;Alto;OT;;C;"[,acc1] [,acc/] [,ea,c] [aacc1] [,cde/] [aacc] | \
[aacc/] [acd,a] [aacc1] [,ea,c/] [acd,a1] [,da,c/] | \
[,dda/] [,acc] [,aa,c/4] ,,,c ,,,b ,,d \
[,acc,a/] [,acc] [,acc] [,ea,c] |";
40d;;51r;Als ick u vinde.;;Basso;OT;;C;"[acd,a1] [acd,a/] [ea,c,a] [fcd,a1] [caa,c/] [fcd,a] | \
[fcd,a/] [fdda,,a] [fcd,a1] [ea,c,a/] [fdda,,a1] [dab,,a/] | \
[dab,,d/] [acd,a] [aacc,a1] [,cdca/] [acd,a] [acd,a] [ea,c,a] |";
41;;51v;Se la mia longa fede. A 3;;;OT;;C;"z/ [abd/] [abd1] [df,c] [cef/] [afg] | \
[c,f/] ,e [a,,c] [,bd] [,ab] [a,bc] [,dff] [,df] | \
[,dda/] [,,da/4] ,b [,a,c/] ,,c [,,d,a] :||:";
42;;52r;Dimmi donna crudel. A 3;;;OT;ConcR865;C;"[acd1] [,cde/] [,dff] [acd] [cd,a] [acd1] | \
[acd/] [,dda1] [,cde/] [,a,c] ,,c [,,d,a] :||: [acd] | \
[acd/] [ac] [ca] [cef] [ef,c] [ef,c] [fc,e] [ef,c] |";
