Piece Nr;Key;Page nr;Name;Composer;Comment;Tuning;Concordances;TimeInz;Tab;TabNotation
41;;32;Gigue;;;guitar;;3;"([,b,,(a1] [,d,,c)]) | [a,,,d1] f ,,,a | ,,,c1 ,a/ e ,d1 | \
[f,,,a1] (h i) | X[h,a1] (,,,d X,,,c) | [f,,d1] (,f X,d) |";french5tab
42;;33;menuet;;;guitar;;3;"!strumdown![,bcc3/2] ,a/ ,,,,a1 | [f,,d1] [h,,a2] | \
!strumdown![efecc2] [f,,e1] | [hf,g2] a1 | ([hf,,a/] i1) (h/ f1) | \
[hf,g3] || !strumdown![dfffd3/2] f/ [d,,,d1] |";french5tab
43;;33;Menuet;;;guitar;;3;"!strumdown![gddd1] (f/ d) (,g ,e) | ([,ed/] ,d) !strumdown![deddd1] ,g | \
[,b,d1] !strumdown!X[bbcd3/2] ,b/ | ,d1 ,,,,b !strumup![bdddb] | \
!strumdown![hddd1] (f/ d) (,g ,e) |";french5tab
44;;34;Gigue à la maniere Angloise;;;guitar;;3;"!strumdown![bcc/] (a b) d b a | !strumdown![bdc1] (b/ a) ,,,a1 | \
(!strumdown![fd1] g) !strumup![fccc] | !strumdown![fccc2] [l,,i1] | \
X[k,,,a2] ,l1 |";french5tab
45;;34;Menuet;;;guitar;;3;"!strumdown![cdc3/2] d/ f1 | [f,,e1] ,d f | !strumdown![higff3/2] k/ l1 | \
!strumdown![lhhh1] (k/ h) (,l ,i) | X[,hh3/2] ,i/ ,l1 | \
!strumdown![g,gha1][f,,,e] h |";french5tab
46;;35;Prelude;;;guitar;;C;",d/ | X,a/ ,,a ,,,a ,,,,c/4 ,,,a ,,a ,d (c d) [f,,e/] ,,,a | \
,,a/ h ,,f ,f [f,g/4] h f ,i f ,i (,h ,f) |";french5tab
47;;35;Alemenda La Kark;;;guitar;;C;"!strumup![ddef/] | !strumdown!X[ddef2] !strumup![ddef1] ,,,e/ ,d | \
[,dac1] ,b X[,b,c] ,,,a/ ,a | [,aa,d1] ,,c [,,e,d] [,d(c,c/] [,,a)] | \
X[,bc,a1] ,,a/ ,a X[,,ca3/2] ,,a/ |";french5tab
48;;36;Courante;;;guitar;;3;"!strumup![ddef/] | !strumdown!X[ddef3/2] ,,f/ ,d ,,,f | \
X,,,e/ ,d [,dac1] ,,,,a/ ,c | [,d,a3/2] (c/4 d f/) ,,f | \
X,,e/ d ,,,,a a 'c ,,,a |";french5tab
49;;36;Sarabande;;;guitar;;3;"!strumdown![dd,,c3/2] ,f/ X[,d,e] ,,f | [,dff1] X,,e ,,,f | \
X[,,ce3/2] ,a/ ([,b,a] ,d) | X[,aa3/2] ,b/ ,d ,,,,c | \
,,,,d/ a ,,c ,d ,,,,c ,,a |";french5tab
50;;37;Passacaille;;;guitar;;3;"!strumdown![dd,,c3/2] d/ | [fd,e1] !strumdown!X[cdc3/2] c/ | \
!strumdown!h1 !strumdown![,b,cd3/2] !strumup!c/ | \
!strumdown!d1 X[d,,a3/2] c/ | [d,a1] || \
!strumdown![dd,,c1] (c/ a) | [fd,e1] ,,,a (,b/ ,a) |";french5tab
51;;38;Rondeau;;;guitar;;3;"!strumdown![bbcd1] !strumdown![ifff3/2] !strumup![dfff/] | \
!strumdown![dfff1] f !strumdown![bdc] | d1 !strumdown!Xd3/2 b/ | \
d1 ,,,,d !strumup![db,cd] | !strumdown![gddfd3/2] g/ [,f,,d1] | \
f1 [,dd] d |";french5tab
52;;39;Menuet;;;guitar;;3;"!strumdown!X[bbcd3/2] a/ [,d,,c1] | [ad,,d1] ,b a | [b,,a1] !strumdown!Xb3/2 (a/4 b) | \
[d,,c1] ,b d | !strumdown![fgfdd3/2] d/ [,g,f1] | \
[dg,,d1] X,f !strumdown![dgddd/] ,g |";french5tab
53;;39;Gigue à la maniere Angloise;;;guitar;;3;",b1 ,,c ,,,d | ,d1 ,,,,b ,,a | a1 X,b ,,,,a | b1 [,dd] ,,a | \
d1 [,ff] f | [,dd1] (,f/ ,g) (d f) |";french5tab
54;;40;Sarab.de;;;guitar;;3;"!strumdown![bbcd1] !strumup![bbcd] !strumdown![bdd] | \
X[,b,c3/2] ,,d/ X[,,cd1] | [ig,h1] [,g,a] ,,d/ d | \
X[df,,d3/2] ,g/ [,g,a1] | [fg,,d1] X[fe,d3/2] f/ | \
[gdd3/2] f/ [de1] |";french5tab
55;;41;Prel.de;;;guitar;;C;"!strumdown!X[bdc3/2] ,,,,a/ ,,,a ,,c ,d a | \
b/ ,d f ,,,,a ,,,,e ,f d f | ,,,a/ ,d b ,,,,d ,,,,b ,d b d |";french5tab
56;;41;Allema.de La Martinenghe;;;guitar;;C;"!strumup![fgh/] | !strumdown![fgh1] !strumup![fgh/] ,,h ,f X,,g !strumdown![hfg] (3h/4 f ,i) | \
[,gh/] ,,,a ,,,,a/4 (,,,,d ,,,,b ,,,,a) ,,,,b/ \
,,c/4 ,d X,,a3/4 a/4 |";french5tab
57;;42;Cour.te;;;guitar;;3;"!strumup![fgh/] | !strumdown![fgh3/2] (f/ g i) | \
([g,(h/] [f,f)]) !strumdown!X[ddd3/2] !strumup![fccc/] | \
!strumdown![fccc1] X[,f,,Xe3/2] a/ | \
!strumdown![bd/] d X[ac,,a3/2] d/ | X[b,,a/] ,d b d f ,,f |";french5tab
58;;43;Sarab.de;;;guitar;;3;"!strumdown![fgh1] (d/ b) [ac,,a1] | [bd,a1] (,,,c/ ,,,a) [,,c,e1] | \
[,,d,f1] X[a,a3/2] ,d/ | X[,cc2] ,,,,a1 | f1 (,,,f/ ,,,d) ,,,c1 | \
,,,d1 X,d2 |";french5tab
59;;44;gigue / preste;;;guitar;;3;"!strumdown![bdc/] a ,d | !strumdown![fddd/] (,,e ,,c) !strumdown![dccc] (f a) | \
!strumdown![bdc1] ,,,a/ ([a,,,d] b) ,c | \
[,d,,b/] (,c ,d) X[a,a3/2] ,d/ |";french5tab
60;;44;Passac.lle;;;guitar;;3;"!strumdown![bdc1] a b ,,,,c | !strumdown![,b,cd2] !strumdown![,bcc1] ,d a ,,,,a | \
[,d,,b2] !strumdown![,d,,b1] ,c ,d ,,b | \
,,,,a2 !strumdown!X[,ccc3] (,a/ ,c) |";french5tab
61;;45;Gavotte;;;guitar;;C;"!strumdown![bdc1] ,,,c/ d | [f,,d1] X,d [l,a] ,,,,a/ k | \
[l,,a3/2] (,f/ ,g ,i) !strumdown![fgh] !strumup!h | \
!strumdown![ifff1] ,g/ i [gg,f1] (,g/4 ,f) g/ |";french5tab
62;;46;Prel.de;;;guitar;;C;",,,,b/4 ,,,d ,,d ,d b ,d ,,d b ,,,,b ,,,d ,,d ,d b ,d ,,d b | \
,,d/4 (g f d) (,g ,e ,d) (,,f ,,d)";french5tab
63;;46;Allem.de;;;guitar;;C;"!strumup![bdddb/] | !strumdown![bdddb1] ,,,,b !strumup![bdddb] g | \
X,,,d1 d X[,ef,a3/2] ,d/ | X[,dd1] (,e/ ,g) (,,,f ,,,d) (,e ,d) | \
[,ea,d1] ,,c [,ddXa3/2] ,b/ |";french5tab
64;;47;Cour.te;;;guitar;;3;"!strumup![bdddb/] | !strumdown![bdddb3/2] (,d/ X,b) ,,d | \
b1 !strumdown!X[bbc3/2] ,e/ | X[,dd1] ,,,,b/ ,g d f | !strumdown![gddd1] X,,d3/2 b/ | \
!strumdown![dedbb1] !strumup![dedbb] [,e,,d/] ,,c |";french5tab
