Piece Nr;Key;Page nr;Name;Composer;Comment;Tuning;Concordances;TimeInz;Tab;TabNotation
48;;54;tronpete;;;guitar;;C;"[,d,a1] ,d/ a !strumdown!X[cdc1] a/ ,d | !strumdown![fhh1] !strumup![fhh] !strumdown![fhh] ([d,,a/] c) | \
X[a,,,a1] ,,c !strumdown![,ccc] (c/ d) | \
!strumdown!X[cdc1] (a/ c) ([d,a] c a) ,d |";french5tab
49;;55;tronpete;;;guitar;;3;"!strumdown![cdc1] ,,,a !strumup![cdc] | !strumdown![fhh3/4] (h/4 f3/4) (d/4 c3/4) a/4 | \
'[,d,a1] ,,c ,d | !strumdown![cdc1] ,,,a !strumup![cdc] | \
!strumdown![fhh3/4] (h/4 f3/4) (d/4 c3/4) a/4 |";french5tab
50;;56;gigue;;;guitar;;3;"!strumdown!X[cdc2] [d,,c1] | [fd,e3/2] d/ [c,,a1] | [h,a3/2] f/ ,i1 | \
!strumdown!X[cdc3/2] a/ ,,,a1 | !strumdown!X[cdc2] [d,,c1] | \
[fd,e2] [a,c,e1] | [,db,c3/2] ,c/ [,db1] | \
!strumdown!X[,ccc3] |:|";french5tab
51;;57;rondau;;;guitar;;3;",,,,a1 ,,,a a | !strumdown![cdc] !strumup![cdc] f1 | !strumdown![cdc] !strumup![cdc] d1 | \
X[a,,,a2] a1 | ,,,,a1 ,,,a a | !strumdown![cdc] !strumup![cdc] f1 | \
X[a,,,a2] ,d1 | ([,c,a/] ,d3/2) ,d1 |:|";french5tab
52;;58;gigue;;;guitar;;C;"!strumdown![fhh1] !strumup![cdc] !strumdown![ddc] !strumup![cdc] | \
!strumdown!X[aaaa1] X,c ,,,,a ,,,a/ c | '[d,a1] ,a !strumdown!X[ccc] (,a/ ,c) | \
',d1 ,,,,a X,,,e ,,,a |:|";french5tab
53;;59;gigue;;;guitar;;3;"f1 | !strumdown!X[cdc3/2] a/ ,,a1 (c d) f | !strumdown!X[cdc3/2] a/ ,,,a1 X,c3/2 ,a/ ,,,,a1 | \
!strumdown![,ccc3] !strumup![,ccc2] ,,,,a1 | \
(,a1 ,c ,d) !strumdown!X[,,ce3/2] ,,a/ ,,,e1 |";french5tab
54;;60;tronpete;;;guitar;;3;"!strumdown!'[,dc3/2] a/ ,d1 | '[,,cd2] ,d1 | !strumdown![cdc3/2] d/ c1 | \
X[,d,,a2] c1 | !strumdown![fhh3/2] h/ f1 | !strumdown!X[cdc3/2] d/ f1 | \
X[c,,a3/2] a/ ,d1 | X[ac,,a3] |:|";french5tab
55;;61;tronpete;;;guitar;;C;"!strumdown![cdc] !strumup![cdc] !strumdown!X[cdc] (a/ c) | \
([d,a/] c a) ,d !strumdown!X[,ccc1] !strumup![,ccc] | \
!strumdown![,ccc1] [c,,a] ([,aa/] ,c ,d) a | \
X[ac,,a3/2] ,d/ ([,c,a] ,d3/2) |:|";french5tab
56;;62;gavote;;;guitar;;C;"(f/ d) (c a) | [cd,a1] ([c,a/] d) !strumdown![,ccc3/2] f/ | \
!strumdown!X[cdc1] !strumup![cdc] ([d,a/] c a) ,d | \
X[,c,,a1] ([,c,,c/4] ,d) a/ X[ac,,a3/2] ,d/ |";french5tab
57;;64;bouree;;;guitar;;C;"[c,,a1] | ([c,,,a/] a) (,d ,c) [,d,e1] [ac,c] | !strumdown!X[cdc1] (a/ c) ,d1 [c,,a] | \
([c,,,a/] a) ([,c,,c] ,d) X[,d,,a3/2] ,c/ | '[,d,a3] |:|";french5tab
58;;65;menuet;;;guitar;;3;"!strumdown!([cdc/] a) !strumup!([cdc] d) !strumdown!([cdc] d) | \
!strumdown![,ccc1] !strumdown![,ccc] [c,,a] | \
([,ca/] ,a) (c a) (,d ,c) | ([,d,a/] ,c) ,d a ,d a |";french5tab
59;;66;bobel;;;guitar;;C;"!strumdown!'[,dc3/2] ,d/ '[,d,a1] ,d | !strumdown![,dce] !strumup![,dce] !strumdown![,dce] [c,,a] | \
X[a,a1] ,d X[,ca] ,a | ([,,b,a/] ,,c1) ,,c/ ,,,,a1 ,,c | \
,,,e1 (,,a/ ,,c) ,,,a1 ,,c |";french5tab
60;;68;magnet p;;;guitar;;3;"!strumdown![fhh2] !strumdown!X[cdc] X[a,,,e] | ,,,a/ a c1 X[a,,,e] [,d,,c] a ,,,,a | \
,,c1 ,d ,,,a c X[,aa2] | \
,a1 !strumdown![,ccc] !strumup![,ccc] ,a X[,c,,a] ,,c |";french5tab
61;;70;menuet;;;guitar;;3;"!strumdown![,b,cd1] a ,b | !strumdown![,b,cd1] (a/ b d1) | \
X[a,,,d3/2] ,d/ a1 | !strumdown!([,d,,c/] ,b ,d) a ,d1 | \
!strumdown![,b,cd1] (b/ a) (,d ,b) |";french5tab
62;;71;chanson;;;guitar;;3;",b1 | !strumdown![dd,,c3/2] b/ d1 | !strumdown![,b,cd1] ,d a | \
X[aaa3/2] ,d/ a1 | ([,a,,d/] ,b3/2) ,b1 | !strumdown![dd,,c3/2] b/ d1 | \
!strumdown![,b,cd1] ,d a |";french5tab
63;;72;paspie;;;guitar;;C;",,a1 !strumdown![,b,cd] !strumup!([,b,cd/] ,d) a1 | \
X,,,a3/2 ,b/ [,d,,c1] a '[b,,a] [d,,c] | \
X[a,,,d1] !strumdown![,b,cd] !strumup!([,b,cd/] ,d) \
(a b) ,,,a (a b d) |";french5tab
64;;74;rigodon;;;guitar;;C;",b/ X[a,,,d1] X[b,,a/] (a/4 b) | '[d,,c3/2] d/ !strumdown![fgfdd] !strumup![fgfdd] !strumdown![fgfdd] d/4 ,g | \
!strumdown![dfffd/] !strumup![dfffd] !strumdown![dfffd] d \
!strumdown![fgfdd] !strumup![fgfdd] !strumdown![fdfdd] d/4 ,g |";french5tab
65;;76;paspie;;;guitar;;3;"[,b,,a1] a '[b,,a] | !strumdown![db,cd] !strumup![db,cd] !strumdown![db,cd] | \
!strumdown![iffff1] !strumup![iffff] f | !strumdown![dfffd1] !strumup![dfffd] ,f | \
!strumdown![fgfdd1] !strumup![fgfdd] ,g1 | \
!strumdown![dfffd1] !strumup![dfffd] a1 |";french5tab
66;;77;scotts tune;;;guitar;;C;",,a/ ,,,,a1 ',b | '[,b,,d3/2] a/ ,d a (,d ,a) | [,,ca3/2] ,,a/ ,,,,a1 ',b | \
(,b/ ,d) a ,b X[,da2] | ([,a,,d/] ,b1) ||";french5tab
67;;78;chanson;;;guitar;;3;"[,b,,a1] a '[b,,a] | X[,de2] ,a1 | X[,b,,a3/2] ,a/ ',b ,d | \
X[,aa2] ,a1 | '[,b,,a1] (,b/ ,a ,b) ,,a | [,,cd1] ,a '[,b,,a] |";french5tab
68;;79;gigue;;;guitar;;3;"([,a,,d1] ,b2) | ,,a2 ,d1 | a1 (,d ,b) | ([,b,,c1] ,d2) | \
[,aa2] a1 | (b1 a) ,d | (a1 b d | ([f,,d/] d) f2 |";french5tab
69;;80;dragon;;;guitar;;C;"!strumdown![,b,cd1] (a/ b) ([d,,c] b) (d f) | !strumdown![dfffd1] (f/ h) !strumdown!([hffff] i3/2) | \
[h,,f1] (f/ d) [f,,d1] (d/ b) |";french5tab
70;;81;menuet;;;guitar;;3;"!strumdown![db,cd1] (b/ a) (,d ,b) | !strumdown![bbcd3] | \
(a/ b) [d,,c1] [f,,d] | X[da2] ,d1 | !strumdown![db,cd1] (b/ a) (,d ,b) | \
!strumdown![bbcd3] |";french5tab
71;;82;menuet;;;guitar;;3;"!strumdown![,b,cd3/2] ,a/ '[,b,,a1] | [,d,,c1] ,d/ a '[,b,,a1] | \
'[b,,a1] X[a,,,d2] | !strumdown!([,d,,c/] ,b ,d) a [,d,,c1] | \
!strumdown![,b,cd3/2] ,a/ '[,b,,a1] | \
[,d,,c1] ,d/ a '[,b,,a1] |";french5tab
72;;83;gigue;;;guitar;;3;",,a1 (,b ,d) a | (,d1 ,a) ,,a ',b2 ,d1 | !strumdown![,b,cd2] a1 (b d) f | \
d1 a) ,b !strumdown![bbcd2] ,d1 |";french5tab
73;;84;chanson;;;guitar;;3;",b1 | !strumdown![dd,,c3/2] b/ d1 | !strumdown![,b,cd1] ,d a | \
X[aaa3/2] ,d/ a1 | ([,a,,d1] ,b2) | !strumdown![dd,,c3/2] b/ d1 | \
!strumdown![,b,cd1] ,d a |";french5tab
74;;85;marche;;;guitar;;C;"X[a,,,d3/2] ,d/ a b '[d,,c1] | ' [,b,,a1] ,,a ,,b (,b/ ,d) | \
!strumdown![,b,cd1] (a/ b) '[d,,c1] (b/ a) | \
!strumdown!([,d,,c/] ,b ,d) a [,d,,c1] (d/ b) |";french5tab
75;;86;paspie;;;guitar;;3;",b1 | !strumdown![db,cd1] !strumup![db,cd] !strumdown![db,cd] | \
!strumdown![,d,,c1] ,d [,da,c] | a1 [a,,,d] ,d/ a | \
'[,b,,a1] !strumdown![,b,cd] !strumup![,b,cd] | \
!strumdown![,b,cd1] X[a,,,d] ,d/ a |";french5tab
76;;87;gigue;;;guitar;;3;",b1 | (a/ b d1) X,,a | !strumdown![,b,cd2] ,d1 | X[a,,,d3/2] ,d/ a1 | \
!strumdown![bbcd2] a1 | [,d,,c1] ,,,,a ,a | '[,b,,d3/2] a/ ,d1 | \
X[,aa3] |";french5tab
77;;88;menuet;;;guitar;;3;"X[a,,,d2] ,d1 | '[,b,,a1] ,,a ,b | ([,b,c/] ,a) (,b ,d) a ,b | \
!strumdown!([,d,,c/] ,b ,d) a ,d (d/4 b) | X[a,,,d2] ,d1 |";french5tab
78;;89;chanson;;;guitar;;C;"!strumdown![db,cd3/2] f/ !strumdown![dd,,c1] (b/ a) | \
([b,,d/] a) X[,da3/4] ,b/4 [,d,,c1] ,,a | \
'[,b,,a1] ,d3/4 a/4 '[b,,a3/2] a/ | \
([b,,,d/] a) (,d ,b) X[,aa3/2] ,d/ |";french5tab
79;;90;marche;;;guitar;;C;"!strumdown!([,b,cd3/2] ,d/) a1 ',b | !strumdown!'[dd,,c3] a1 | \
'[b,,a1] ,d a X[,b,,a] | \
!strumdown!([,b,,c/] ,d1) a/ (,d ,b ,a) ,,c |";french5tab
80;;91;chanson;;;guitar;;3;"a1 | ,b1 ([d,,,d] a) '[b,,,a2] a1 | [,,cd1] (,d ,a) '[,b,c2] ,d1 | \
([a,,,d1] b) [d,,c] [,,cd] ,a '[,b,,a] | X[,aa4] |:|";french5tab
81;;92;chanson;;;guitar;;3;"(,b/ ,d) | X[a,,,d3/2] b/ [d,,c1] | X[d,e3/2] b/ [a,,,d1] | \
'[b,,a3/4] d/4 b3/4 a/4 ,d3/4 a/4 | X[a,,,d3/2] ,d/ ,b1 | \
'[,b,,a1] ,,a ,b |";french5tab
82;;93;Echo;;;guitar;;C;"a1 | !strumdown!([,b,cd/] ,a ,b ,d) ,b1 [a,,,d] | \
!strumdown!([,b,cd/] ,a ,b ,d) ,b1 [a,,,d] | \
!strumdown![bbcd2] X[a,,,d] | \
!strumdown!([,d,,c/] ,b ,d) a ,d1 [a,,,d] |";french5tab
83;;94;chanson;;;guitar;;C;",,a1 | ',b1 X[,da] (b/ a) b d | ([f,e/] d) i1 !strumdown!X[hia] (,,,h/ ,,,f) | \
(,g/ ,f) (,,h ,,f) [,,cd1] (,a/ ,b) |";french5tab
84;;96;Sans titre;;;guitar;;3;",b1 [d,,,c] X[a,,,d] | [f,,d1] ,d a | '[b,,a1] ([d,a/] b a) ,d | \
X[a,,,d3/2] ,d/ ,b1 | ,i1 !strumdown![iffff] !strumup! [dfffd] | \
X[a,,,d1] ',b ,,a |";french5tab
85;;97;chanson;;;guitar;;3;"X[a,,,d3/2] ,d/ ,b1 | !strumdown![dd,,c3/2] b/ [a,,,d1] | \
(,b/ ,d) X[,da1] (,b/ ,d) | !strumdown![,b,cd2] |:| \
a1 | [,d,,c/] a ,d a ,d a |";french5tab
86;;98;menuet rondau;;;guitar;;3;"!strumdown![db,cd1] (b/ a) (,d ,b) | X[,aaa2] [,bc1] | \
X[,de3/2] ,,f/ ,d1 | [a,,,d1] (b/ a) (,d ,b) | \
!strumdown![db,cd1] (b/ a) (,d ,b) |";french5tab
87;;100;chanson;;;guitar;;3;"!strumdown![db,cd1] | a1 '[,b,,a2] | X[,,ac2] ,b1 | ,,,,a1 '[b,,a2] | \
X[,da2] (a/ b) | [d,,c1] ,,,,d '[b,,a] | X[a,,,d2] (,d/ ,b) | \
[,d,d1] X[,aa2] |";french5tab
88;;101;tmpet;;;guitar;;3;"[,b,,d3/2] [d,,,c3/4] (f/4 d/) | a/4 [,b,,a3/4] [b,,a/] ([,da/4] ,a3/4) a/ | \
,b/4 ,,,,a3/4 [b,,a/] X[,de1] ,b/ | \
!strumdown![,a,,c1] !strumdown![,a,,c] |:|";french5tab
89;;102;Sans titre;;;guitar;;3;",,a1 '[,b,,d2] | !strumdown!([,d,,c/] ,b ,d) a ,d a | \
'[b,,a1] X[a,,,d3/2] b/ | X[,da2] ,b1 | '[,b,,a1] X[a,,,d2] | \
!strumdown!([,d,,c/] ,b ,d) a ,d1 |";french5tab
90;;103;Sans titre;;;guitar;;3;"(a/ b1) '[d,,c3/2] b/ [a,,,d1] | X[,de2] ,,a1 '[,b,,a3/2] ,a/ [,,cd1] | \
X[,,ac2] ,d1 [a,,,d] ,b ,,c | \
!strumdown![bbcd2] b1 [d,,c] a ,b |";french5tab
